en,ha
"To those who may be alone and struggling with life’s burdens, hearing others lift them up to the throne of grace can be a great encouragement.","Ga waɗanda suke iya kaɗaita kuma suke fama da matsalolin rayuwa, jin wasu sun ɗaga su zuwa kursiyin alheri na iya zama babban ƙarfafawa."
Answer,Amsa
"Jesus warned against such behavior in Matthew 6:5-8 where He exhorts us not to be showy, long-winded, or hypocritical in our prayers, but to pray secretly in our own rooms in order to avoid the temptation of using prayer hypocritically.","Yesu ya yi gargaɗi game da irin wannan ɗabi'a a cikin Matiyu 6:5-8 inda ya gargaɗe mu cewa kada mu zama masu fara'a, masu dogon tunani, ko munafunci a cikin addu'o'inmu, amma mu yi addu'a a ɓoye a cikin ɗakunanmu don kauce wa jarabar amfani da addua a munafunci."
"To those who are redeemed and have their sin forgiven, God gives eternal life, an existence so glorious that “no eye has seen, no ear has heard, and no mind has imagined what God has prepared for those who love him” (1 Corinthians 2:9, NLT).","Littafi Mai Tsarki tana gaya mana cewa ba kaɗai akwai rai bayan mutuwa ba, amma rai madawwami mai ɗaukaka da”Abubuwan da ido bai taɓa gani ba, kunne bai taɓa ji ba, zuciyar mutum kuma ba ta ko riya ba, waɗanda Allah ya tanadar wamasu ƙaunarsa” (1 Korantiyawa 2:9)."
"Laws of science and physics would be irrelevant, and commerce would be impossible.","Dokokin kimiyya da kimiyyar lissafi ba su da wata ma'ana, kuma kasuwanci ba zai yiwu ba."
"So, if the Bible, history, psychology, and nature all argue for marriage being between a man and a woman—why is there such a controversy today?","Don haka, idan Littafi Mai Tsarki, tarihi, ilimin halin ɗabi’a, da ɗabi’a duk suna jayayya game da aure tsakanin mace da namiji-me ya sa akwai irin wannan jayayya a yau?"
"Our reunions with loved ones are more likely to be filled with recounting the grace and glory of God in our lives, His wondrous love, and His mighty works.",Za mu shagaltu sosai da bautar Allah da jin daɗin abubuwan al'ajabi na sama.
Then we can focus our hearts on heaven where we will no longer have to deal with physical problems.,Ba nufin Allah bane koyaushe ya warkar damu.
He has not left that option open to us.,Bai bar wannan zaɓi gare mu ba.
“Our Father in heaven” is teaching us whom to address our prayers to—the Father.,"An ƙarfafa mu mu roƙi Allah don abubuwan da muke buƙata a ""ba mu yau abincinmu na yau."""
"4) If there is still no clear answer after steps 1), 2), and 3) are followed, we trust God that His Word is truth and that there is a solution that just simply has not been realized yet (2 Timothy 2:15, 3:16-17).","4) Idan har yanzu babu cikakkiyar amsa bayan matakai na 1), 2), da 3), muna dogara ga Allah cewa Kalmarsa gaskiya ce kuma akwai mafita wanda kawai ba a fahimta ba tukuna (2 Timothawus 2:15, 3:16-17)."
The rapture is to be distinguished from the second coming.,Fyaucewa za a bambanta da zuwan ta biyu.
"Angels will never become, and never were, human beings.","Mala'iku ba zasu zama mutane ba, kuma ba zasu taba zama ba."
"Polycarp, a disciple of John the apostle, acknowledged 15 books (A.D. 108).","Polycap, almajirin Yahaya manzo, ya yarda da littattafai 15 (A.D. 108)."
"It can be very easy to “fall in love” with someone, but there are some questions to ask before deciding if what we are feeling is true love.","Zai iya zama da sauƙi sosai a “ƙaunaci” wani, amma akwai wasu tambayoyi da za a yi kafin a yanke shawara ko abin da muke ji so ne na gaskiya."
"In the New Testament, Jesus speaks to the Father about sending a Helper, the Holy Spirit (John 14:16-17).","Cikin Yahudanci, kana da siffofi uku: mufuradi, na mutum biyu, da kuma jam’i."
"However, full preterism has some serious flaws in that it denies the physical reality of Christ’s second coming and downplays the dreadful nature of the tribulation by restricting that event to the fall of Jerusalem.","Koyaya, cikakken preterism yana da wasu kurakurai masu tsanani a cikin cewa yana musun gaskiyar zahiri na zuwan Christs na biyu kuma yana saukar da mummunan yanayin tsananin ta ƙayyade lamarin har zuwa faɗuwar Urushalima."
"Similarly, in the New Testament, slave-traders are listed among those who are “ungodly and sinful” and are in the same category as those who kill their fathers or mothers, murderers, adulterers and perverts, and liars and perjurers (1 Timothy 1:8– 10).","Hakanan, a cikin Sabon Alkawari, an siyar da fataken bayi cikin waɗanda ""marasa tsoron Allah da masu zunubi"" kuma suna cikin rukuni ɗaya da waɗanda suke kashe mahaifinsu ko uwayensu, masu kisan kai, mazinata da masu lalata, da maƙaryata da maƙaryata (1 Timothawus 1:8-10)."
It is not always God’s will to heal us physically.,Har yanzu Allah yana yin mu'ujizai.
"The word ""Elohim"" and the pronoun “us” are plural forms, definitely referring in the Hebrew language to more than two.","Cikin Yahudanci, siffar na mutum biyu ana morarta ga abubuwa da sukan zo ne cikin bibbiyu kamar idanu, kunnuwa, da hannaye."
The Qur’an says it was Ishmael.,Qur'ani yace Isma'il ne.
"Christians believe in one God that exists in three persons—the Father, the Son (Jesus Christ), and the Holy Spirit.","Kiristoci sun bada gaskiya cikin Allah ɗaya da ya kasance cikin mutum uku, Uba, da Ɗa (Yesu Kiristi), da kuma Ruhu Mai Tsarki."
All of us are tainted by and infected with sin (Ecclesiastes 7:20; Romans 3:23; 1 John 1:8).,Dukanmu mun ƙazantu da kamuwa da zunubi (Mai-Wa'azi 7:20; Romawa 3:23; 1 Yahaya 1:8).
The cosmological argument considers the principle of cause and effect.,Kowane mutum na da azancin abin da ke daidai da abin da ba daidai ba.
"We come to God with our specific requests, and we have God’s promise that our prayers are not in vain, even if we do not receive specifically what we asked for (Matthew 6:6; Romans 8:26-27).","Mun zo ga Allah tare da takamaiman buƙatunmu, kuma muna da alƙawarin Allah cewa addu'o'inmu ba a banza suke ba, koda kuwa bamu sami takamaiman abin da muka roƙa ba (Matiyu 6:6; Romawa 8:26-27)."
"This is a term that is used to attempt to describe the triune God—three coexistent, co-eternal Persons who are God.","Wannan sharaɗi ne da aka mora da ƙoƙarin bayyana ukuntakar Allah, batu cewa akwai 3 masu kasancewa tare, mutane dawwamammu sune suka zama Allah."
"Acts 2:22 tells us that Jesus was “accredited” by “miracles, wonders, and signs.” Similarly, the apostles were “marked” as genuine messengers from God by the miracles they performed.","Hakanan, an ""yiwa manzannin"" alama ""a matsayin masu sako na gaske daga Allah ta wurin al'ajiban da suka yi."
"Discuss with them the world around them as they see it, and teach them about the glory of God through everyday life.","Tattauna dasu tare da duniyar da ke kewaye dasu kamar yadda suka gani, kuma koya musu game da ɗaukakar Allah ta rayuwar yau da kullun."
All people are accountable to God whether or not they have “heard about Him.” The Bible tells us that God has clearly revealed Himself in nature (Romans 1:20) and in the hearts of people (Ecclesiastes 3:11).,Littafi Mai-Tsarki ya gaya mana cewa Allah ya bayyana kansa a bayyane cikin yanayi (Romawa 1:20) da kuma cikin zukatan mutane (Mai-Wa’azi 3:11).
Answer,Amsa
"He increased the army, brought in hired troops from other regions who were loyal to him alone (2 Samuel 15:19-22) and turned over the direct leadership of his armies to a commander-in-chief, Joab.","Ya kara yawan sojoji, ya shigo da dakaru haya daga wasu yankuna wadanda ke yi masa biyayya shi kadai (2 Sama’ila 15:19-22) kuma ya juya jagorancin jagorancin rundunarsa ga babban kwamanda, Yowab."
Return to:,English
Jeremiah 1:5 tells us that God knows us before He forms us in the womb.,Irmiya 1:5 ya gaya mana cewa Allah ya san mu kafin ya halicce mu a cikin mahaifar.
The tree of life will be there (Revelation 22:2).,Itacen rai zai kasance a wurin (Wahayin Yahaya 22:2).
"The Bible contains hundreds of detailed prophecies relating to the future of individual nations including Israel, certain cities, and mankind.","Littafi Mai Tsarki na ƙunshe da ɗarurrukan annabatai filla-filla dangane da lokacin gaba na al’ummai ɗai ɗai haɗe da Isra’ila, zuwa lokacin gaba na waɗansu birane, zuwa lokacin gaba na ɗan adam, da kuma zuwa wanda zai zama Mahadi, mai ceto ba na Isra’ila kaɗai ba, amma dukkan waɗanda zasu bada gaskiya cikin Sa."
"Of course, discipline must have as its goal the good of the child and must never be used to justify the abuse and mistreatment of children.","Tabbas, horo dole ne ya zama maƙasudin mahimmancin yaro kuma kada a taɓa amfani dashi don ba da dalilin cin zarafin yara da wulakanta su."
"“But now Christ has been raised from the dead, the first fruits of those who are asleep” (1 Corinthians 15:20 NAS).","“Amma ga hakika an ta da Almasihu daga matattu, shi ne ma nunan fari na waɗanda suka yi barci” (1 Korantiyawa 15:20 NAS)."
Many people today understand the church as a building.,Mutane da yawa a yau sun fahimci cocin a matsayin gini.
"The Jews rejected Jesus’ identity as God Incarnate, but they understood exactly what He was saying.","Me yasa Yahudawa kuma zasu so su jajjefe Yesu idan da bai fai wani abin da sun gaskata da zaman sabo, wato, da’awar zaman Allah?"
"After all, Jesus said, “Heaven and earth will pass away, but my words will never pass away” (Mark 13:31).","Bayan dukka, Yesu ya ce, “Sararin sama da ƙasa za su shude, amma magana ta ba zata shuɗe ba” (Markus 13:31)."
Answer,Amsa
1.,1.
"Ephesians 2:8-9 states, ""For it is by grace you have been saved, through faith—and this not from yourselves, it is the gift of God—not by works, so that no one can boast.""","Afisawa 2:8.9 ta bayyana, “ Domin ta wurin alheri ne aka cece ku saboda bangaskiya, wannan kuwa ba ƙoƙarin kanku bane, baiwa ce ta Allah, ba kuwa saboda aikin lada ba, kada wani yayi fariya.” Yayin da aka “cece” wani, an riga maya haifuwarsa/ta, sabuntawar ruhaniya, kuma yanzu ya zama ɗan Allah ta hakkin sabuwar haifuwa."
"If you want to accept Jesus Christ as your Savior and receive forgiveness from God, here is a prayer you can pray.","Idan kana son ka karɓi Yesu Kiristi a matsayin mai cetonka kuma ka karɓi gafara daga wurin Allah, ga addu’ar da zaka iya yi."
Preterism teaches that the Law was fulfilled in AD 70 and God’s covenant with Israel was ended.,Preterism yana koyar da cewa Doka ta cika a A.D. 70 kuma alkawarin Allah da Isra'ila ya ƙare.
It should not cause us alter our viewpoint on whether a Christian can be demon possessed / demonized.,Bai kamata ya sa mu canza ra'ayinmu game da ko aljanu zai iya zama aljani ba.
This would be blasphemy if Christ were not deity.,Da wannan ya zama saɓo idan Kiristi ba Allah bane.
Return to:,Koma zuwa shafin gida na Hausa
Crucial Questions,English
"However, there are numerous teachings in Scripture that make it abundantly clear what God’s view of abortion is.","Koyaya, akwai koyarwar dayawa a cikin nassi wanda ya bayyana sarai abin da ra'ayin Allah game da zubar da ciki yake."
"God will dwell with mankind, and they shall be His children (Revelation 21:7).","Yau, zumuncin nan da Allah kaɗai na yiwuwa ne ta wurin Ɗan sa , Yesu Kiristi (Ayyukan Manzanni 4:12; Yahaya 14:6; Yahaya 1:12)."
It has been proven that psychics can gain immense amounts of information on someone through ordinary means.,An tabbatar da cewa masu ilimin sihiri zasu iya samun adadi mai yawa akan wani ta hanyoyin da suka dace.
Return to:,Koma zuwa shafin gida na Hausa
"“Therefore, if anyone is in Christ, he is a new creation; the old has gone, the new has come!” (2 Corinthians 5:17).","“Saboda haka, duk wanda ke na Almasihu,sabuwar halitta ne, tsohon al’amari duk ya shuɗe, ga shi, kome ya zama sabo” (2 Korantiyawa 5:17)."
Return to:,Koma zuwa shafin gida na Hausa
"As He broke it and gave it to His disciples, He said, “‘This is my body given for you; do this in remembrance of me.’ In the same way, after the supper he took the cup, saying, ‘This cup is the new covenant in my blood, which is poured out for you’” (Luke 22:19-21).","Kamar yadda ya karye ya ba almajiransa, ya ce, “’Wannan jikina ne da za a bayar dominku."
"Some, however, using a synthesis of both the Friday and Wednesday arguments, argue for Thursday as the day.","Wasu, duk da haka, ta amfani da roba duka gardamar Juma'a da Laraba, suna jayayya don Alhamis a matsayin ranar."
Paul interprets Isaiah 45:22-23 as applying to Jesus in Philippians 2:10-11.,Bulus ya fassarta Ishaya 45:22-23 da shafan Yesu cikin Filibiyawa 2:10-11.
They believe God the Father has a “body of flesh and bones as tangible as man’s” (Doctrine and Covenants 130:22).,"Sun yi imani da cewa Allah Uba yana da ""jiki na tsoka da ƙashi kamar na mutum."""
"The tribulation will include the appearance of the four horsemen of the Apocalypse, and the seven seal, trumpet, and bowl judgments.","Fitina za ta haɗa da bayyanar mahayan dawakai huɗu na Apocalypse, da hatimi bakwai, ƙaho, da hukuncin kwano."
Let’s start by understanding that God is our Creator and that we are a part of His creation (Genesis 1:1; Psalm 24:1) and are created in His image.,Allah ya faɗi cewa an halicci mutum cikin kamannin sa.
"Rather, they are different ethnicities of the human race.","Maimakon haka, sun kasance kabilu daban-daban na jinsin ɗan adam."
Galatians and Colossians give warnings about such religions.,Galatiyawa da Kolosiyawa suna ba da gargaɗi game da irin waɗannan addinan.
God guides and directs us.,Allah na bishe mu da kuma gwada mana.
The Ten Commandments are recorded in the Bible in Exodus 20:1-17 and Deuteronomy 5:6-21 and are as follows:,An rubuta Dokoki Goma a cikin Baibul a cikin Fitowa 20:1-17 da Kubawar Shari'a 5:6-21 kuma kamar haka:
"The Bible mentions six specific people who committed suicide: Abimelech (Judges 9:54), Saul (1 Samuel 31:4), Saul’s armor-bearer (1 Samuel 31:4–6), Ahithophel (2 Samuel 17:23), Zimri (1 Kings 16:18), and Judas (Matthew 27:5).","Littafi Mai Tsarki ta ambaci mutum biyar kai tsaye waɗanda sun kashe kansu: Abimelek (Littafin Mahukunta 9:54), Saul (1Samuila 31:4), mai ɗaukar wa Saul makamai (1Samuila 31:4-6), Ahitofel (2Samuila 17:23), Zimri (1Sarakuna 16:18) da kuma Yahuda (Matiyu 27:5)."
"John, writing to the church at large, specifies the name of Christ as the basis of our forgiveness: “I am writing to you, dear children, because your sins have been forgiven on account of his name” (1 John 2:12).","“Rai madawwami kuwa, shine su san ka, Allah makaɗaici na gaskiya, da kuma Yesu Almasihu da ka aiko (Yahaya 17:3)."
"If there is an explicit biblical explanation for this animosity, it goes all the way back to Abraham.","Idan akwai bayyanannen bayani na littafi mai tsarki game da wannan gaba, to ya koma kan Ibrahim."
"In this way, nature argues against gay marriage.","Ta wannan hanyar, dabi'a tayi jayayya game da auren ‘yan luwadi."
A final external evidence that the Bible is truly God’s Word is the indestructibility of the Bible.,Shaidar waje na ƙarshe cewa Littafi Mai Tsarki ne da gaske maganar Allah shine mai sa rashin rusawa na Littafi Mai Tsarki.
"Some people, eager for money, have wandered from the faith and pierced themselves with many griefs.” Hebrews 13:5 declares, “Keep your lives free from the love of money and be content with what you have, because God has said, ‘Never will I leave you; never will I forsake you.’” Matthew 6:24 proclaims, “No one can serve two masters.","Don tsananin jarabar kuɗi kuwa waɗansu mutane, har sun bauɗe wa bangaskiya, su jawo wa kansu baƙin ciki iri iri masu sukan rai.” Ibraniyawa 13:5 tana furtawa, “ Kada halinku ya zama na son kuɗi."
"While possible, there is no explicit biblical basis for this view.","Duk da yake yana yiwuwa, babu wani bayyanannen tushe cikin littafi mai tsarki don wannan ra'ayi."
The requirement for salvation has always been faith.,Bukatar samun ceto koyaushe bangaskiya ce.
It is important to note that only the innocent party is allowed to remarry.,Yana da muhimmanci a lura cewa sai ɓangare marar laifi kaɗai ne aka yarda su sake yin aure.
This verse perhaps lays down the principle for sexual relations in marriage.,Wannan ayar wataƙila ta shimfiɗa ƙa'idar yin jima'i cikin aure.
"For believers in Christ, life after death is eternal life in heaven with God.","Akwai hanya guda ɗaya kaɗai- ta wurin gaskata da amince cikin Ɗan Allah, Yesu Kiristi."
It is not so important how the apostles died.,Ba shi da mahimmanci yadda manzannin suka mutu.
"While it is good and wise to be prepared to give a vigorous defense and have knowledge of false beliefs, neither of these things will result in the conversion of those trapped in the lies of the cults and false religions.","Duk da cewa yana da kyau kuma mai hikima ne a shirya bada karfi da kariya game da akidun karya, duk wadannan abubuwan ba zasu haifar da tubar wadanda suka shiga cikin karyar kungiyoyin asiri da addinan karya ba."
The Bible presents several different resources to aid us in our effort to overcome sin.,Littafi Mai Tsarki tana magana game da waɗannan abubuwa da muke da su mu ci nasara da zunubanmu.
"The second argument that usually arises against the Christian stance on abortion is “What about when the life of the mother is at risk?” Honestly, this is the most difficult question to answer on the issue of abortion.","Gaskiya, wannan ita ce tambaya mafi wahalar amsawa game da batun zubar da ciki."
The question of faith alone or faith plus works is made difficult by some hard-to-reconcile Bible passages.,An mai da tambayar bangaskiya kaɗai ko bangaskiya haɗe da ayyuka da wuya ta waɗansu nassoshin Littafi Mai Tsarki marasa sulhuntuwa.
"Why does the Bible, in fact, seem to support the practice of human slavery?","Me ya sa Littafi Mai Tsarki, a zahiri, ya goyi bayan bautar mutane?"
"Such an exclusive statement may confuse, surprise, or even offend, but it is true nonetheless.","Waɗannan duk sune tunanin gama-gari tsakanin yawancin mutane, amma gaskiyar ita ce, dukkansu ƙarairai ne."
Others insist that “time-outs” and other punishments that do not involve physical discipline are far more effective.,"Wasu kuma sun dage cewa ""fitar lokaci"" da sauran hukunce-hukuncen da ba su ƙunshi horo na zahiri sun fi tasiri sosai."
"Thankfully, inherited sin, imputed sin, and personal sin have all been crucified on the cross of Jesus, and now by faith in Jesus Christ as the Savior “we have redemption through His blood, the forgiveness of sins, according to the riches of His grace” (Ephesians 1:7).","Yanzu zamu iya zaɓan ko muyi zunubanmu na kanmu saboda muna da ikon tsayayya da zunubi ta wurin Ruhu Mai Tsarki wanda yake zaune a cikinmu, yana tsarkake mu kuma yana yanke mana laifofinmu idan muka aikata su (Romawa 8:9-11)."
"When we wrong someone, we seek their forgiveness in order for the relationship to be restored.","Idan muka yi wani laifi, mukan nemi gafartawa domin a maido da zumunci."
Because we have been forgiven!,Domin an gafarta mana!
"Jesus gave Himself to us as a sacrifice, God raised Him from the dead, and one day everyone will confess that Jesus Christ is Lord (Philippians 2:6–11).","Yesu ya ba da kansa garemu hadaya, Allah ya tashe shi daga matattu, kuma wata rana kowa zai shaida cewa Yesu Kiristi Ubangiji ne (Filibiyawa 2:6-11)."
Some parents find that their children do not respond well to physical discipline.,Wasu iyaye suna ganin cewa 'ya'yansu ba sa amsa da kyau ga horon jiki.
"If there is a discernable cause to these supposed events, it is likely to be spiritual, and more specifically, demonic, in origin.","Idan akwai sanannen sanadi ga waɗannan abubuwan da ake tsammani, mai yiwuwa ya zama na ruhaniya, kuma musamman, aljanu, asali."
The greatest commandment in Scripture is this: “Love the LORD your God with all your heart and with all your soul and with all your strength” (Deuteronomy 6:5).,"Mafi girman umarni a cikin Littafi shine: “ Sai ku ƙaunaci Ubangiji Allahnku da zuciya ɗaya, da dukan ranku, da dukan ƙarfinku” (Kubawar Shari'a 6:5)."
"Without a doubt the Bible is what it claims to be—the undeniable, authoritative, Word of God to humanity.","Ba tare da wata shakka ba, Littafi Mai-Tsarki shi ne abin da yake iƙirarin kasancewarsa mai musun, mai iko, Maganar Allah ga ɗan adam."
"But it would certainly prove problematic when trying answer questions like “Since all of creation suffers, what purpose would God have in creating non-moral and non-sentient creatures to suffer on distant planets?”","Amma tabbas zai tabbatar da matsala yayin kokarin amsa tambayoyin kamar ""Tunda dukkan halittu suna shan wahala, wace manufa Allah zai kasance a cikin halittar halittu marasa dabi'a da wadanda ba ruwansu don shan wahala akan duniyoyi masu nisa?"""
"The apostle Paul talked about all he had achieved religiously before being confronted by the risen Christ, and he concluded that all of it was like a pile of manure compared to the excellence of knowing Christ Jesus.","Manzo Bulus yayi magana game da duk abin da ya samu ta fuskar addini kafin ya gamu da Kristi wanda ya tashi daga matattu, kuma ya kammala da cewa duk wannan kamar tarin taki ne idan aka kwatanta shi da kyakkyawan sanin Almasihu Yesu."
Who is the one in the world?,Wanene daya a duniya?
Neither of these covenants has been fully or permanently fulfilled.,Babu ɗayan waɗannan alkawuran da aka cika ko dindindin.
"Our purpose in life, as God originally created man, is 1) glorify God and enjoy fellowship with Him, 2) have good relationships with others, 3) work, and 4) have dominion over the earth.","Manufarmu a rayuwa, kamar yadda Allah ya halicci mutum tun asali, ita ce 1) ɗaukaka Allah da jin daɗin zumunci tare da shi, 2) kyakkyawar dangantaka da wasu, 3) aiki, da 4) suna mulkin duniya."
"What Jesus was trying to get across to the Pharisees is that sin is still sin even if you only want to do the act, without actually carrying it out.","Abin da yesu yake ƙoƙari ya faɗa wa Farisawa shi ne cewa zunubi har yanzu zunubi ne ko da kawai kuna son yin aikin, ba tare da aiwatar da shi ba."
Modern secular psychology recognizes that men and women are psychologically and emotionally designed to complement one another.,Ilimin halin zaman duniya na zamani ya gane cewa maza da mata an tsara su ne ta fuskar ɗabi'a da motsin rai don su taimaki juna.
Jesus Christ died in our place when He was crucified on the cross.,Yesu Kristi ya mutu a madadinmu lokacin da aka gicciye shi a kan gicciye.
"Unless the Lord returns, everyone who is alive today will die, and the vast majority of them (Christians included) will die as the result of a physical problem (disease, sickness, injury).","Manzo Yahaya ya bamu hangen nesa: ""Wannan ita ce amincewarmu a gabansa, wato, in mun roƙi kome bisa ga nufinsa, sai ya saurare mu."
"Even in these more difficult two percent of instances, abortion should never be the first option.","Koda a cikin kashi 5 cikin ɗari na al'amuran da suka fi wahala, zubar da ciki bai kamata ya zama zaɓi na farko ba."
"Jesus rose from the dead to prove His victory over sin, death, and hell (Colossians 2:15; 1 Corinthians chapter 15).","Yesu ya tashi daga matattu ya gwada nasararsa akan zunubi, mutuwa da jahannama ( Kolosiyawa 2;15; 1 Korantiyawa sura 15)."
"Dispensationalism has two primary distinctives: 1) a consistently literal interpretation of Scripture, especially Bible prophecy, and 2) a view of the uniqueness of Israel as separate from the Church in God’s program.","Zamanin mulkin mallaka yana da banbanci na farko guda biyu: 1) fassarar nassi kai tsaye, musamman annabcin littafi mai Tsarki, da kuma 2) hangen nesa game da keɓancewar Isra'ila da keɓewa da coci a cikin shirin Allah."
These questions cannot be adequately answered this side of eternity.,Waɗannan tambayoyin ba za a iya amsa su da kyau ta wannan layin ba.
"It is clear, however, that the Bible condemns homosexuality as an immoral and unnatural sin.","A bayyane yake, cewa, Littafi Mai-Tsarki ya la'anci luwadi da cewa zunubi ne na lalata da na ɗabi'a."
There would be no such thing as eternal life (John 3:16).,Babu wani abu kamar rai madawwami (Yahaya 3:16).
Faith alone in the finished work of Christ on the cross is the only true path to eternal life!,Bangaskiya ce kaɗai a cikin aikin Kiristi da ya gama a bisa gicciye ne ta zama hanyar gaskiya tak zuwa rai madawwami!
"There are five-point Calvinists and five-point Arminians, and at the same time three-point Calvinists and two-point Arminians.","Akwai mabiya Calviniyanci masu maki biyar da kuma Arminiyawa masu maki biyar, kuma a lokaci guda masu Kalvinyya masu maki uku da kuma Arminiyawa masu maki biyu."
"Based on these and other biblical descriptions, it is reasonably speculated that at one time the earth was covered by some kind of water canopy.","Dangane da waɗannan da wasu kwatancin na Littafi Mai-Tsarki, yana da kyau a yi hasashen cewa a wani lokaci rufin ruwa ya rufe duniya."
Why doesn’t God heal everyone?,"Ba kuma sauran mutuwa, ko baƙin ciki, ko kuka, ko azaba, don abubuwan dā sun wuce.”"
"In the past, God spoke to people sometimes in dreams.","A dā, Allah yana magana da mutane wani lokaci a mafarki."
"Amen!""",Amin!”
"Jesus Christ died on the cross (John 19:31-42), taking the punishment that we deserve (2 Corinthians 5:21).","Yesu Kirsti ya mutu akan gicciye (Yahaya 19:31-42), ya ɗauki hukuncin da ya cancance mu (2 Korantiyawa 5:21)."
"Modern birth control methods were unknown in Bible times, and the Bible is, therefore, silent on the matter.","Abin baƙin ciki, yara a yau wasu lokuta ana ɗaukar su a matsayin damuwa da nauyi."
One such passage is Ephesians 5:22–33.,Suchaya daga cikin irin wannan nassi shine Afisawa 5:22–33.
Drunkenness and addiction are sin.,Buguwa da jaraba zunubi ne su.
Praying according to God’s will is praying for things that honor and glorify God and/or praying for what the Bible clearly reveals God’s will to be.,Yin addu'a bisa ga nufin Allah shine yin addu'a domin abubuwan da ke girmama Allah da ɗaukaka shi da/ko yin addua domin abin da Littafi Mai-Tsarki ya bayyana nufin Allah ya zama.
"Another consideration is that, in the first few generations after creation, the human genetic code had developed few defects.","Wani abin la’akari shine cewa, a cikin ƙarni na farko bayan halitta, lambar kwayar halittar ɗan adam ta sami fewan lahani."
Paul still recognized the Roman government’s rule over him.,Bulus har ilayau ya amince da mulkin masarautar Rome akan sa.
Answer,Amsa
"This is demonstrated by the fact that Peter and John did not protest being flogged, but instead rejoiced that they suffered for obeying God (Acts 5:40-42).","An nuna wannan ta wurin gaskiyar cewa Bitrus da Yahaya ba su nuna rashin yarda da bulalar ba, a maimakon haka sun yi farin ciki cewa sun sha wahala saboda yin biyayya ga Allah (Ayukan Manzanni 5:40-42)."
God’s requirement of what must be believed is based on the amount of revelation He has given mankind up to that time.,Bukatar Allah na abin da dole ne a gaskata shi ya dogara ne da yawan wahayin da ya ba ɗan adam har zuwa wannan lokacin.
Return to:,Koma zuwa shafin gida na Hausa
"If we receive Jesus Christ as Savior (John 3:16; Romans 10:9), we will be forgiven and promised an eternal home in heaven (Romans 8:1).","Idan muka karɓi Yesu Kiristi a matsayin Mai Ceto (Yahaya 3:16; Romawa 10:9), za'a gafarta mana kuma anyi mana alkawarin madawwami gida a sama (Romawa 8:1)."
Answer,Amsa
"Take the law of gravity, for instance.","Dauki dokar nauyi, alal misali."
Their sin of disobeying God brought corruption into their lives and into the world.,Zunubinsu na rashin biyayya ga Allah ya kawo lalata cikin rayuwarsu da duniya.
"""God, I know that I have sinned against you and am deserving of punishment.","“Allah, na sani cewa nayi zunubi gareka kuma na cancanci hukunci."
Yet that would be a tangible way of expressing gratitude to God for His mercy in not charging His people “interest” for the grace He has extended to them.,"Amma duk da haka wannan babbar hanya ce ta nuna godiya ga Allah saboda jinƙansa da ya hana mutanensa ""riba"" don alherin da ya yi musu."
3) How can we fix it?,3) Ta yaya zamu iya gyara shi?
This prayer is simply a way to express to God your faith in Him and thank Him for providing for your salvation.,"Wace nan addu’a, hanya ce mai sauƙi a furta ga Allah bangaskiyarka a cikin Sa kuma ka gode masa don ya tanadar maka da ceto.”Allah, na sani cewa nayi zunubi gareka kuma na cancanci hukunci."
"In the Epistles, there were organized groups that mixed the gospel with certain lists of required works and rituals.","A cikin wasikun, akwai ƙungiyoyi masu tsari waɗanda suka haɗu da bishara tare da wasu jerin ayyukan da ake buƙata da al'ada."
Gambling most definitely is focused on the love of money and undeniably tempts people with the promise of quick and easy riches.,Caca tabbatacce ta zura ido ne kan ƙaunar kuɗi kuma babu shakka na jarabar mutane da alƙawarin sauri da arzikin sauƙi.
"If we are walking closely with the Lord and truly desiring His will for our lives, God will place His desires in our hearts.",Idan kana tafiya kurkusa tare da Ubangiji kuma da gaske kana sha’awar nufin sa don rayuwar ka- Allah zai sa marmarin Sa kan zuciyarka.
"While this view is possible, the primary purpose of tongues being fulfilled does not necessarily demand its cessation.","Yayin da wannan ra’ayi zai zama da yiwuwa, manufa ta farko na harsuna mai cikawa bai bukaci lalle da tsayawar ta ba."
Return to:,Koma zuwa shafin gida na Hausa
"The Wednesday view holds that this “Sabbath” was the Passover (see Leviticus 16:29-31, 23:24-32, 39, where high holy days that are not necessarily the seventh day of the week are referred to as the Sabbath).","Ra'ayin Laraba ya nuna cewa wannan ""Asabar"" Idin ketarewa ne (duba Littafin Firistoci 16:29-31, 23:24-32,39, inda ake kiran manyan ranaku masu tsarki waɗanda ba lallai ba ne ranar bakwai ta mako a matsayin Asabar)."
God is the uncreated Creator who created the universe and everything in it.,Allah shine wanda ba'a haifar dashi ba wanda yasa komai ya wanzu.
They are as follows:,Suna nan kamar haka:
"Without the authority of the Bible, any attempt to explain God’s attributes would be no better than an opinion, which by itself is often incorrect, especially in understanding God (Job 42:7).","Nassoshin Littafi Mai Tsarki gaba ɗayan su suna da muhimmanci, gama in ban da ikon Littafi Mai Tsarki ba, karo- karon waɗannan kalmomi ba zasu fi ra’ayin mutum ba; wanda a kanta sau da yawa baya daidai cikin ganewar Allah ( Ayuba 42:7)."
He was thrown from the southeast pinnacle of the temple (over a hundred feet down) when he refused to deny his faith in Christ.,An jefar dashi daga kudu maso gabas na haikalin (sama da ƙafa ɗari ƙasa) lokacin da ya ƙi musun imaninsa cikin Kristi.
