ha,sw
"Samfura da Daidaici - rayuwa abin da ka fada, zama abin koyi da yaro zai iya koya daga gare shi ta hanyar ""kama"" asalin rayuwar ibada (Kubawar Shari'a 4:9,15, 23; Misalai 10:9; 11:3; Zabura 37:18, 37).","Kuwa mfano mwema kwa maadili- kuishi chenye unasema, kuwa kielelezo kutoka kwacho mtoto ataweza kujifunza kwa “kushika” hizi tabia za kuishi maisha ya uungu (Kumbukumbu  La Torati 4:9, 15, 23; Methali 10:9; 11:3; Zaburi 37:18, 37)."
"Don haka, kodayake Yesu ya ce sha'awa da zina duka zunubai ne, wannan ba yana nufin sun daidaita ba.","Kwa hivyo ingawa Yesu alisema kwamba tamaa na uzinzi zote ni dhambi, hiyo haimanishi kuwa ziko sawa."
Masana taurari koyaushe suna samun sabbin duniyoyi a cikin tsarin hasken rana mai nisa.,Majusi kila mara wanagundua sayari mpya kitika mfumo wa jua la mbali.
English,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Ya ɗora zunubanmu ga Yesu, Allah ya ɗauke shi kamar shi mai zunubi ne, kodayake ba shi ba, kuma ya sa shi ya mutu domin zunuban duniya duka (1 Yahaya 2:2).","Alifanywa kana kwamba alikuwa na makosa yote ambayo yalifanywa na uzao wa mwanadamu, ingawa hakuwa amefanya hata moja."
"“Gama ƴan adam duka sun yi zunubi, sun kasa kuma ga ɗaukakar Allah” (Romawa 3:23).","Kwanza, ni sharti tutambue yakwamba tumetenda dhambi kinyume chake Mungu: “Kwasababu wote wamefanya dhambi, na kupungukiwa na utukufu wa Mungu” (Warumi 3:23, TMP)."
"Sojojin da ke tsaye suka ci gaba (duk da cewa an raba su tare da mulkin bayan mutuwar Sulemanu) har zuwa 586 B.C., lokacin da Isra'ila (Yahuza) ta daina kasancewa a matsayin ƙungiyar siyasa.","Jeshi lilisimama liliendela (ingawa liligagwanyika kwa kugwagwanyikwa kwa ufalme baada ya kifo cha Suleimani) hadi mwaka 586 B.C., wakati Israeli (Yuda) ziliangamizwa kama taifa huru kisiasa."
Yana son maza da mata su ji daɗin yin jima’i (cikin iyakaci na aure).,Anawataka wanaume na wanawake wafurahie kitendo cha ngono (ndani ya ndoa).
"Ai, dukkanku ɗaya kuke, na Almasihu Yesu.”",Maana  ninyi nyote mmekuwa mmoja katika Kristo Yesu.”
"Za a sami sabuwar sama da sabuwar duniya ga masu bi (Wahayin Yahaya 21:1), kuma za a jefa marasa imani cikin tafkin wuta na har abada (Wahayin Yahaya 20:11-15).",Kutakuwa na mbingu mpya na nchi mpya kwa waumini (Ufunuo 21:1) na wasio amini watatupwa katika zila la moto (Ufunuo 20:11-15).
English,English
"Wanda ba shi da Ɗan Allah kuwa, ba shi da rai.","Yeye aliye naye Mwana, anao huo uzima; asiye naye Mwana wa Mungu hana huo uzima."
"A takaice, ya kamata Kiristoci su kai juna kotu a kan al'amuran coci?",Wakristo wanastahili kuwapeleka Wakristo wengine kotini kwa mambo yanayohusiana na Kanisa?
Babu wani addini mai koyar da zurfi ko tsananin zunubi da abubuwan da zai haifar.,Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Lokacin da mutane suke magana game da Littafi Mai-Tsarki wahayi, suna magana ne akan gaskiyar cewa Allah yayi tasiri akan mutane marubutan Litattafai ta yadda abin da suka rubuta Kalmar Allah ce sosai.","Wakati watu wanasema kuwa Bibilia ni pumzi ya Mungu, huwa wanarejelea dhana kuwa Mungu kwa uungu wote aliwashawishi uandishi wa Bibilia wa mwanadamu kwa njia ambayo kwamba chochote walichokiandika ni neno la Mungu."
Mutane suna da alhaki ga Allah game da abin da Allah ya riga ya bayyana musu.,Watu watawajibika kwa Mungu kwa yale yote Mungu ameyafunua kwao.
Akwai tunani iri iri kan shaidar Ruhu Mai Tsarki.,Kuna utatanishi mwingi juu ya kumtambua Roho mtakatifu.
"Rashin yarda na gama-gari na biyu shine cewa Bulus ya taƙura wa Afisawa kaɗai daga yin koyarwa (Timoti ta ɗaya an rubuta wa Timoti ne, wanda ya zama fasto na Ikilisiyar cikin Afisa).",Huldah alikuwa peke yake nabii wa kike kati ya manabii wote waliotajwa katika Biblia.
"Duk da haka, zamu iya ɗauki waɗansu ƙa’idojin Littafi Mai Tsarki na dukka da kuma bada haske akan fannin.",Nogtans kan ons wel sekere algemene Skriftuurlike beginsels as voorbeeld neem om so ‘n bietjie lig op die onderwerp te laat val.
Yaya haka zai zo ya faru?,"Je, hii hutokea vipi?"
"Mutane da yawa waɗanda basu bada gaskiya da amince cikin Yesu Kiristi ba sun ɗauki kansu Kiristoci ne don kawai suna tafiyar ikilisiya ko suna zama a cikin al’ummar”Kirista.” Amma zuwa ikilisiya, a bauta wa marasa galihu kasa da kai, ko zaman mutumin kirki baya mai da kai Kirista ba.",Watu wengi wasioamini na kuwa na tumaini ndani ya yesu kristo hujichukulia tu kuwa ni wakristo kwa sababu wanahudhuria ibada za kanisa ama wanaishi katika taifa la kikristo.
Dukansu Tsoho da Sabon Alkawari an basu “domin mu zama masu hikima game da Ceto” (2 Timothawus 3:15).,"Zote, Agano la kale na Agano Jipya zilitolewa “kutuekimisha hata tupate wokovu” (2Timotheo 3:15)."
Koma zuwa shafin gida na Hausa,English
"Yawancin bayin sa masu kirki a cikin Littafi Mai Tsarki sun aikata zunubai barkatai, kamar, kisan kai (Musa) zina (Sarki Dawuda), da cin mutuncin jiki da motsin rai (Manzo Bulus).",Baadhi ya watumishi wake wazuri katika biblia walitenda dhambi kubwa kama kuua (Musa) kuzini (Mfalme Daudi) na kutesa wengine (mtume Paulo).
"Yadda aka faɗa da farko, Allah ya mori mutane daga sana’o’in rayuwa masu yawa su rubuta maganar sa gare mu.A cikin nazarin rayuwar waɗannan mutane, babu wata kyakkyawar dalili a gaskata cewa ba su basu zama salihai da salihan mutane ba.",Mungu aliwatumia watu wa tabaka mbalimbali kuandika habari hizi.
English,English
Koyarwa - Littattafai da hangen nesan duniya (Zabura 78:5-6; Kubawar Shari'a 4:10; Afisawa 6:4),Kuwafunza- maandiko na mitazamo ya Kibibilia (Zaburi 78:5-6; Kumbukumbu La Torati 4:10; Waefeso 6:4)
"Yesu ya cika yawancin annabce-annabcen Almasihu yayin haihuwarsa, rayuwarsa, hidimarsa, mutuwarsa, da tashinsa.","Yesu alitimiza unabii mwingi wa Masia wakati wa kuzaliwa kwake, maisha yake, huduma yake na kifo chake na kufufuka kwake."
Waɗannan shaidun ido suna da ɗan dama.,Hao ni mashahidi wengi sana.
Ya kamata mu yi tsammanin wasu ƙananan bambance-bambance.,Lazima tutarajie tofauti kidogo sana.
"Wannan birni mai ɗaukaka, tare da titunan zinariya da ƙofofin lu'u-lu'u, yana kan sabuwar duniya, mai ɗaukaka.",Utakuwa katika nchi mpya ambapo milango yake na njia zake zitakuwa sha dhahabu
"Duk da yake mafi yawan Larabawa Musulmai ne, akwai Larabawa da yawa waɗanda ba Musulmi ba.","Huku kukiwa kuwa wengi wa Waarabu ni Waislamu, kuna Waarabu wengi ambao si Waislamu."
"Ofaya daga cikin manyan jayayya a ranar Juma'a ana samunta ne a cikin Markus 15:42, wanda ke bayanin cewa an gicciye Yesu ""ranar da ba ta Asabar ba.""","Mojawapo ya dhana kuu ya Ijumaa inapatikana katika Mariko Mtakatifu 15:42, ambayo inasema kuwa Yesu alisulubiwa “siku iliyo kabla ya sabato” Kama hiyo ilikuwa sabato ya kila juma, kwa mfano Jumamosi, kwa hivyo hiyo hoja huasiria Ijuma kuwa siku halisi ya kusulubiwa."
"Amma idan, ban da sake biyan bashin, matalauci dole ne ya yi ƙazamar biyan bashin riba, haƙƙin zai zama mafi cutarwa fiye da taimako.","Lakini ikiwa juu ya kulipa mkopo, mtu maskini aliitajika kulipa riba, jukumu ambalo lilikuwa la kufedhehesha sana kuliko lizaidie."
"Idan mukayi addu'a don wani abu wanda ba girmamawa ga Allah bane ko kuma ba nufin Allah game da rayuwar mu ba, Allah ba zai bamu abinda muke roƙo ba.","Kama tutaomba juu ya kitu fulani ambacho hakimweshimu Mungu ama chenye sio mapenzi ya Mungu katika maisha yetu, Mungu hatatupa chenye tunauliza."
Da a faɗi cewa yana da muhimmanci gare mu mu gwada gane da abin da yake Kaman Allah ya zama kamar ƙaton bayani marar isa!,Kusema ya kwamba tunahitajika kujua mungu ni mfano wa nini ni jambo la hatari.
"Idan haka ne kake yanzu nan, mai yiwuwa kana ji a zuciya da yawa, kamar ji irin su rashin bege da fid da rai.","Ikiwa ni wewe saa hii, moyo wako unaweza kukuambia mambo mengi na kukujaza hisia kama kukata tamaa maishani."
"Wannan yana ɗaukar kalmomin ""a cikin sunan Yesu"" azaman sihiri ne na sihiri.","Hii hasa nikuchukulia maneno, “katika jina la yesu” kuwa utaratibu wa kiuchawi."
"A cikin Tsohon Alkawari, Allah ya raba ɗan adam zuwa ƙungiyoyi biyu ""launin fata"": Yahudawa da Al'ummai.","Katika Agano La Kale, Mungu aliwaganya wanadamu katika “vizazi” viwili: Wayahudi na watu wa mataifa."
"Kalmar ""ruhu"" tana nuni ne kawai zuwa ga wani bangare mara mutuntaka.",Neno “roho” laashiria mwili wa ndani pekee wa mwanadamu.
"Na uku daga Dokoki Huɗu na Ruhaniya ita ce,”Yesu Kiristi ne kaɗai tanadin Allah domin zunubanmu.","Kidokezo cha tatu kati ya sheria hizi nne za Kiroho ni, ‘Yesu Kristo pekee ndiye ondoleo letu la dhambi mbele za Mungu."
"Girman ruhaniya wataƙila an kwatanta shi da kyau a cikin 2 Bitrus 1:3-8, wanda ya gaya mana cewa da ikon Allah muna da “duk abin da muke buƙata” don rayuwar rayuwar ibada, wanda shine makasudin ci gaban ruhaniya.","Kukua kiroho imeelezwa vizuri sana katika 2 Petero 1:3-8, ambayo yatuambia kwamba kwa nguvu za Mungu “tuko na kila kitu tutakacho” kuishi maisha ya kiungu, ambayo ndio lengo la kukua kiroho."
Ba wani da alama ya damu ko ya gane inda kake tahowa.,Hakuna mwenye kukujali wala kutaka hata kukuelewa katika hali zako unazopitia.maisha ni kama hayana umuhimu wa kuyaishi je upo?
Yanke hukunci na lahira/hades bai canza ba.,Mahali pa kuzumuni hapakubadilishwa.
"Da farko dai, muna da abin da Gideon da Sama'ila ba su da shi.",Mwanzo wa yote tuko na kitu ambacho Gideoni na Samweli ambacho hawakuwa nacho.
Hakanan Uban ke yi duk waɗannan ta ikon Ruhu Mai Tsarki.,Haya yote Baba ayatenda kupitia Roho Mtakatifu.
Na farko shine hukuncin tumaki da awaki ko hukuncin al'ummai (Matiyu 25:31-36).,Ya kwanza ni hukumu ya mbuzi na kondoo au hukuma ya mataifa (Mathayo 25:31-36).
"Kamar yadda ci gaba da yaduwar haihuwa ya faru a cikin tsararraki, gidan kwayar halittar ya yi girma karami, ya kai ga cewa mutanen dangin harshe daya duk suna da fasali iri daya ko makamancin haka.","Uzao ulipoendelea zaidi katika vizazi, ule utofauti wa chembe chembe za damu ulipungua zaidi, hadi kiwango kwamba watu wa lugha ya familia moja wote walikuwa na tabia moja."
"Yakubu baya faɗi cewa baratswa ta bangaskiya ne haɗe da ayyuka ba, amma kuma cewa mutumin da da gaske ne an baratas ta bangaskiya zai sami kywawan ayyuka a rayuwarsa.",Yakobo hasemi kwamba kukubalika ni kwa imani pamoja na matendo bali mtu mwenye imani ya kweli ataidhihirisha kwa matendo mema.
Shaidan da aljanunsa yanzu suna neman lalata aikin Allah da yaudarar duk wanda zasu iya (1 Bitrus 5:8; 2 Korantiyawa 11:14-15).,Shetani pamoja na mapepo yake sasa wanatafuta kuharibu na kudanganya wale wote wanaomfuata na kumwabudu Mungu (1 Petero 5:8; 2 Wakorintho 11:14-15).
"Wannan umarni ne a keɓe Asabar (Asabar, ranar ƙarshe ta mako) a matsayin ranar hutu da aka keɓe ga Ubangiji.","Kwa kulinganisha, lengo la amri kumi ni kuwalazimiza kugungdua kwamba kwa ukamilifu hawawezi kutii sheria (Warumi 7:7-11), na kwa hivyo wanihitaji huruma na neema za Mungu."
"Ba tare da wata shakka ba, Littafi Mai-Tsarki shi ne abin da yake iƙirarin kasancewarsa mai musun, mai iko, Maganar Allah ga ɗan adam.",Aya hizo hizo zinazoweka msingi wa pumzi ya Bibilia pia ni kamilifu na ziko na mamlaka yote.
"Mutane da yawa sun gane Yesu bayan tashinsa daga matattu (Yahaya 20:16, 20; 21:12; 1 Korantiyawa 15:4-7).",Rudi kwa ukurasa wa nyumbani wa Kiswahili
"A rubutun Bulus, ruhaniya yana da mahimmanci ga rayuwar mai bi (1 Korantiyawa 2:14; 3:1; Afisawa 1:3; 5:19; Kolosiyawa 1:9; 3:16).","Paulo katika uandishi wake, roho ni kitu cha maana katika maisha ya Mkristo (1 Wakorintho 2:14; 3:1; Waefeso 1:3; 5:19; Wakolosai 1:9; 3:16)."
"Amma tabbas zai tabbatar da matsala yayin kokarin amsa tambayoyin kamar ""Tunda dukkan halittu suna shan wahala, wace manufa Allah zai kasance a cikin halittar halittu marasa dabi'a da wadanda ba ruwansu don shan wahala akan duniyoyi masu nisa?""","Lakini kwa kweli itathibitisha tatizo wakati tunajaribu kujibu maswali kama “kwa vile viumbe wote watezeka, Mungu alikuwa na lengo gani kwa kuwaumba viumbe wasio na madili na viumbe wasio na uai kutezeka katika sayari za mbali?”"
"Addu'o'in da aka gabatar a cikin biyayya ga nufin Allah, sabili da haka koyaushe ana amsawa mai kyau, ko mutum ɗaya yayi ko dubu.","Maombi yametolewa kwa unyenyekevu kwa mapenzi yake, kwa hivyo kila wakati yanajibiwa , hata kama yametolewa na mtu mmoja au watu elfu."
Sau da yawa Allah yana umartar Isra’ilawa su tafi yaƙi tare da sauran ƙasashe (1 Sama’ila 15:3; Joshuwa 4:13).,"Ingawa, neno la Kiibrania katika maan ya juu juu lamaanisha, “ mauaji yaliyodhamiriwa kimataifa na mtu mwingine kwa uovu; uuaji.” Mungu kila mara aliamrisha Waisraeli kuenda vitani na mataifa meningine (1 Samweli 15:3; Yoshua 4:13)."
"Cikin Wahayin Yahaya, littafin ƙarshe na Littafi Mai Tsarki, a ƙarshen abubuwa da dama na ƙarshen zamani, Allah ya bayyana cewa zai hallakar da duniya ta yanzu da sammai kanda mu san su da kuma shigo da madawwamin zamani ta halittar sabuwar sama da sabuwar duniya.",Tunaona ya kwamba mabo ya fuatayo yalikuwa dhahiri kabla ya mwanadamu kuanguka dhambini na laana kuja juu ya ardhi: (1) Mungu alimfanya mwanadamu kuwa kiumbe cha ushikamano na wengine (Mwanzo 2:18-25); (2) Mungu alimpatia kazi mwanadamu (Mwanzo 2:15); (3) Mungu alikuwa na ushirika na mwanadamu (Mwanzo 3:8); (4) Mungu alimpa mwanadamu kuimiliki dunia na vilivyomo (Mwanzo 1:26).
"Yesu ya tashi daga matattu ya gwada nasararsa akan zunubi, mutuwa da jahannama ( Kolosiyawa 2;15; 1 Korantiyawa sura 15).","Kwa ajili ya dhambi zetu,tunastahili adhabu ya milele (Mathayo 25:46)."
"Aboki, Allah na tsaye a shirye ya gyarta abin da ya fashe “---kamar, rai da kake da shi yanzu, da kake so ka ƙare ta kashe kan ka.","Rafiki yangu, Mungu yuko tayari kukiunda upya kile “kimevunjika”… kama yale maisha uliyonayo sasa unayotaka kuyamaliza kwa kujiua."
Wannan yana faruwa ne bayan lokacin tsananin amma kafin karni; dalilin sa shine a tantance wanda zai shiga masarautar ta shekara dubu.,Hii itafanyika baada ya kipindi cha matezo kabla ya ufalme wa miaka elfu moja; lengo lake ni kutambua ni nani atakayeingia katika ufalme wa miaka elfu moja.
Daga cikin wadannan ayoyin mutum na iya tantance wadannan ka'idodi:,From these verses one might sift out the following principles:
Farawa 15:6 ta gaya mana cewa Ibrahim ya gaskanta da Allah kuma hakan ya isa ga Allah a jinjina masa don adalci (duba Romawa 4:3-8).,"Mwanzo 15:6 yatuambua kwamba Abrahamu alimwamini Mungu, hiyo ilitosha Mungu akamhesabia jambo hili kuwa haki (pia angalia Warumi 4:3-8)."
"Don haka, menene ma'anar cewa Allah Ƙauna ne?",Je inamaanisha nini Mungu ni upendo?
"Suna iya taimaka wasu lokuta, amma akwai wasu lokuta lokacin da duk abin da zasu cim ma shine cire kuɗi.","They can sometimes help, but there will be other times when all they will accomplish is the removal of money."
"Littattafan Sabon Alkawari waɗanda suka karɓi mafi yawan rikice-rikice sune Ibraniyawa, Yakubu, 2 Bitrus, 2 Yahaya, da 3 Yahaya.","Vitabu vya Agano Jipya vilivyokuwa na utata ni Waebrania, Yakobo, 2 Petero, 2 Yohana, na 3 Yohana."
Amsa,Antwoord
Muna yin addu'a saboda dalilai daban-daban.,Tunaomba kwa ajili ya sababu mbalimbali.
"Afisawa 2:8 tana gaya mana cewa”Domin ta wurin alheri ne aka cece ku saboda bangaskiya, wannan kuwa ba ƙoƙarin kanku bane, baiwa ce ta Allah.” Kirista na gaskiya shine wanda ya tuba daga zunubansa ko zunubanta kuma ya sa bangaskiya da amincewa cikin Yesu Kiristi kadai.",Waefeso 2:8 inatuambia ya kwamba “Kwa neema mmeokolewa kupitia imani wala si kwa ajili yenu wenyewe bali ni kipawa cha Mungu.” Mkristo wa kweli ni mtu aliyetubu dhambi zake na kuweka imani na tumaini lake ndani ya Yesu kristo pekee.
"Mai bi ba zai taɓa cika cikakkiyar ruhaniya ba tare da samun wannan hanyar don kyaututtukan sa ba, kuma muna buƙatar taimako da ƙarfafawar wasu masu bi (1 Korantiyawa 12:21-26).",Vilevile Mkristo hafiki upeo wa kukua kiroho bila ya usaidizi na utiaji moyo wa wakristo wengine (1 Wakorintho 12:21-26).
"Daya daga cikin waɗannan shine sha'awar ɗan adam don yin zunubi (Luka 12:26) 'Yan Adam na dabi'a mugaye ne, kuma rayukanmu suna da lahani sakamakon haka.",Mojawapo ya hizi ni nia ya mwanadamu kutenda dhambi (Luka 12:26).
"Mugunta da rashin kyakkyawan, ko mafi kyau, mugunta shine rashin Allah.","Kwa hivyo uovu ni kutokuwa na wema, ama uzuri, uovu ni kukosekana na uwepo wa Mungu."
Rai kawai bata cancanci rayuwa ba --- ko dai?,Hata hivyo kujiua kutasaidia tu kuleta huzuni na upweke kwa wale wakupendao ambao hukutaka kuwaudhi wala wahuzunike na kusababisha Makovu mengine ambayo yatadumu maishani mwao mwote.
"Amfani da kalandar yahudawa, kuna da daren Alhamis (dare ɗaya), ranar Alhamis (kwana ɗaya), daren Juma'a (dare biyu), ranar Juma'a (kwana biyu), daren Asabar (daren uku), ranar Asabar (kwana uku).","Kwa kutumia kalenda ya Kiyahudi tuko na usiku wa Alhamisi (usiku wa kwanza), Alhamisi mchana (mchana wa kwanza), Ijumaa usiku (usiku wa pili), Ijumaa mchana (mchana wa pili), Jumamosi usiku (Usiku wa watatu), Jumamosi mchana (mchana wa tatu)."
"Dan Allah ""na Allah ne.""",Wayahudi wilielewa vizuri sana chenye Yesu alimaanisha kwa maneno haya “Mwana wa Mungu” kuwa Mwana wa Mungu ni  kuwa hali moja na Mungu.
"Koyaya, yana da mahimmanci a gane abin da aka alkawarta masu imani su kiyaye daga su.",Yote yana maana inayoweza kuaminika wa neno la Kiyunani (Kigiriki) ambalo limetafsiriwa “kutoka.” Ingawa ni muimu kutambua chenye wateule wameahidiwa watachungwa kutoka.
Ta zama littafi ce ta sake rayuka da al’adu marar lissaftawa har na shekaru 2000 yau.,Ni kitabu kilichobadilisha maisj\ha na tamaduni kwa muda wote wa miaka 2000 iliyopita.
"Duk abin da aka yi, ya kamata a yarda da shi.","Cho chote kinachofanywa, lizima kifanyika katika mapatano."
"“Ai, kowane irin horo, a lokacin shansa, abu ne mai baƙin ciki, ba na farin ciki ba.",Je!
An cire asalin rai a lokacin mutuwar jiki (Farawa 35:18; Irmiya 15:2).,Nguzo kuu ya uhai imeondolewa wakati wa kifo (Mwanzo 35:18; Yeremia 15:2).
3) Neman shiga tsakani na Allah cikin kowace matsala ta zahiri ya kamata a nemi (Yakubu 4:2; 5:13).,3) Katika upungu wo wote wa nje wa mwili lazima tutafute Mungu kuingilia kati (Yakobo 4:2; 5:13).
"Idan kana da sha’awar amince da Yesu Kiristi a matsayin mai ceton ka, ka faɗi waɗannan kalmomi cikin zuciyar ka ga Allah.","Ndani ya Kristo, utakuwa na mapambano pia, lakini sasa utakuwa na TUMAINI."
"Sa’ad da miji da mata mai bi suka kafa ƙa’idodin Allah game da aure a cikin Littafi Mai Tsarki, aure mai ƙarfi zai kasance da daɗi.","Wakati mme Mkristo na mke Mkristo wanaitumia kanuni ya Mungu, ndoa ya Kibibilia hutokea."
"Ishaya 53:5, wanda aka faɗi a cikin 1 Bitrus 2:24, ayar mahimmi ce game da warkarwa, amma sau da yawa ana fahimtarsa da rashin amfani da shi.","Isaya 53:5, ambayo imenukuliwa katika 1 Petero 2:24 ndio kuu juu ya uponyaji, lakini kila mara imeeleweka vipaya na imetumika vipaya."
Amsa,Jibu
"Farko shekarun karni shine ra'ayin cewa zuwan Almasihu na biyu zai faru ne kafin Mulkinsa na shekara dubu, kuma masarautar karni mulki ne na shekaru 1000 na Kristi a duniya.",Die voor-duisendjaar is die siening dat Jesus se terugkoms gebeur voor Sy duisendjarige koningryk en dat die duisendjaar ‘n letterlike 1000 jaar is wanneer Jesus op aarde sal regeer.
"Hukunci kawai da ya dace da wannan zunubi shine mutuwa (Romawa 6:23), ba kawai mutuwar jiki ba amma mutuwa ta har abada (Wahayin Yahaya 20:11-15).",Rudi kwa ukurasa wa nyumbani wa Kiswahili
Amsa,Jibu
"Ba kaɗai Allah yayi wata harhaɗe da launi mai kyau na halittar duniya ba, Shi kuma ya girka wata azancin Lahira cikin zuciyar kowane mutum (Mai Hadishi 3:11).",Mungu hakuumba tu ulimwengu mgumu kufafanua bali pia ameweka ndani ya moyo wa kila mwanadamu umilele (Mhubiri 3:11).
Ba za a iya bayyana cikakke Allah marar iyaka ta misali mai iyaka ba.,Mungu asiyeonekana na macho hawezi kuelezwa kwa usahihi na mwenye kuona na macho ya kibinadamu akaeleweka.
Nazarin Jibin Maraice abin kwarewa ne game da ruhi saboda zurfin ma'anar da ke ciki.,Kuyachunguza maandiko juu ya mesa ya bwana kunatia moyo kwa sababu ya kifo cha maana yanazungumzia.
"Ayoyi 8-10 a fili na magana ga mazaje da mataye dukka ne, ba ga mazaje da mataye ma’aurata ba.",Aya za 8 – 10 zazungumzia juu ya wanaume na wanawake kwa jumla swala sio waume kwa wake zao.
"Mutane mutane ne na zahiri, amma tare da ruhaniya.","Mwanadamu ako na umbo la mwili, lakini pia na mwili wa kiroho."
"Ban gaskata cewa tada marmarin jima’i mai gamsarwa ne ga Allah ba, ka guje kammanin fasiƙanci, ko a ci gwadawar Allah ta samun galaba akan jikunanmu.","Siamini kujichua kunaweza kumpendeza Mungu, kwa kuwa kunaepuka mipaka ya heshima na sheria ya Mungu juu ya miili yetu."
"Mun sami, yayin da muke karanta shafukan tarihin littafi mai tsarki, cewa ko muna magana akan dangantaka ɗaya-da-ɗaya ko al'ummu, “A duniya duka ba wani abu da yake sabo.” (Mai-Wa'azi 1:9).","Twapata tunaposoma kurasa za historia za kibibilia kwamba, hata ingawa twazungumzia uhusiano wa mtu kwa mtu, au wa kujamii, “wala jambo jipya hakuna chini ya jua” (Mhubiri 1:9)."
"Duk da haka, kalmar yaren Hellenawa da aka juya “rashin aminci na aure” ta zama kalma wanda ma’anarta kan iya zama da kowanne siffa na zunubin fasiƙanci.","Neno la kigiriki lilitafsiriwa kumaanisha uasherati ni neno linaloweza kumaanisha kila aina ya uchafu wa kimapenzi kama zinaa, uasherati, ukahaba na kadhalika."
"Afisawa 1:4 sun gaya mana cewa Allah ya zaɓe mu ""tun kafin kafawar duniya.""","Waefeso 1:4 yatueleza kwamba Mungu alituchagua, “kabla ya kuwekwa misingi ya ulimwengu.”  Bibilia yarudia rudia  kusema kuwa Wakristo “wamechaguliwa” (Warumi 8:33; 11:5; Waefeso 1:11; Wakolosai 3:12; 1Wathesalonike 1:4; 1Petero 1:2; 2:9) na “wateule” (Mathayo 24:22,31; Mariko 13:20,27; Warumi11:7 1Timotheo 5:21; 2Timotheo 2:10; Tito 1:1; 1Petero 1:1)."
"Maimakon aiki tare don cire kayan, za su yi aiki da juna.","Badala ya kufanya kazi pamoja, kuvuta pamoja, watakuwa wakizozana."
"Wani mahimmin mahimmanci shine cewa manufar Littafi Mai Tsraki shine nuna hanyar samun ceto, ba don gyara al'umma ba.","Pointi nyingine ya muimu sana, ni kuwa lengo la Bibilia ni kuonyesha njia ya wokovu, si kubadilsha kijiji."
"Babu yafiya, ko dai a wannan zamani ko a zamani mai zuwa, ga mutumin da ya ƙi yarda da Ruhun ya amince da Yesu Kiristi sannan ya mutu cikin rashin imani.",Hakuna msamaha kwa mtu yule akufaye bila imani.
"Hasumiyar Tsaro tana kafa hujja da koyarwa a kan ainihin koyarwar Charles Taze Russell, Alkali Yusuf Franklin Rutherford, da waɗanda suka biyo bayansu.","Mnara wa Bibilia unaweka imani na kanuni katika asili ya upanusi wa mafunzo ya Charles Taze Russell, Akimu Joseph Frankli Rutherford, na waridhi wao."
Harshe Allah ne ya bashi domin samun damar sadarwa.,Lugha ilipeanwa na Mungu kwa lengo la kuwa na uwezo wa kuwasiliana na mwanadamu.
Dalilin mutum shine yabon Allah kuma ya more shi har abada.,Lengo la mwanadamu ni kumtukuza Mungu na kumfurahisha milele.
Hukunci kaɗai madaidaici don zunubanmu ita ce mutuwa.,Adhabu ya haki pekee tunayostahili kwa ajili ya dhambi zetu ni mauti.
"Littafi Mai-Tsarki yana da kalmomi masu zafi na la'anawa ga masu ba da bashi waɗanda ke wulakanta waɗanda suke bin su bashi, amma bai hukunta wanda ke binsa ba.","Bibilia iko na maneno makali ya hukumu kwa wakopeshaji ambao wanawatusi wale wameshindwa kuwalipa, lakini haiwahukumu wenye deni."
"Duk da haka, wannan bai nuna bai zama gaskiya ba ko kuma bai zama kan su koyarwar Littafi Mai Tsarki ba.",Hii haimaanishi kuwa si kweli au si maagizo ya Biblia.
Amsa,Jibu
"Kamar yadda muka koya daga Onan, dalili ne na hana daukar ciki wanda yake tabbatar da daidai ne ko kuskure.",Sio tendo la tembe litakalo bainisha kama ni vibaya au ni vyema.
"Halin da ake ciki a duniya a yau shine tsarin halitta, wanda ke amsa tambayoyi uku kamar haka: 1) Mu samfuran ayyukan yanayi ne ba tare da wata ma'ana ba.","Mtazamo unaokubaliwa wa dunia ni ule wa kimazingira, ambao unajibu maswali matatu kama hivi: 1) Sisi ni uzao wa mazingira na hatuna lengo kamili."
"Daman samun nasara suna nan ɗan kaɗan ne, wanda yana sakamakon rayukan mutane da dama kan rusa",Hapa ndipo maisha ya wengi husambaratika.
Waɗannan “alloli” ko “ruhohi” aljannu ne (2 Korantiyawa 11:14-15).,“Miungu” hii au “roho” hisi ni mapepo (2 Wakorintho 11:14-15).
"Mun sani cewa Kristi bai kasa da Allah ba, kamar yadda mace ma ba ta kasa da mijinta ba.","Tunajua kuwa Kristo si duni mbele za Mungu, kama vile mwanamke si duni kwa mume wake."
Yin addu'a cikin sunan Yesu shine yin addu'a domin abubuwan da zasu girmama Yesu kuma su ɗaukaka shi.,Kuomba katika jina la Yesu ni kuomba vitu ambavyo vinamweheshimu na kumtukuza Yesu.
"In dai babu tashin matattu, ashe, ba a tada Almasihu ba ke nan” (1 Korantiyawa 15:12-13).","Kama vile Mungu alivyofufua mwili wa Yesu, vivyo hivyo ndivyo miili yetu itakavyofufuliwa Yesu atakaporudi (Wakorintho wa kwanza 6:14)."
Ruhanyar nassi yana da haɗari saboda yana motsa tushen cikakkiyar fassara daga nassi zuwa tunanin mai karatu.,Vergeesteliking van ‘n gedeelte is gevaarlik omrede dit die basis van korrekte interpretasie van die Skrif laat afwyk.
