en,sw
Pot calling the kettle black.,Chungu kuliita jiko kuwa ni jeusi.
"""ICT is merely that, a technology.",“Teknolojia ya Habari na Mawasiliano ni teknolojia tu.
"Aizzah Fatima used to worry that the title of her one-woman play, ""Dirty Paki Lingerie,"" would offend her fellow South Asians.","Aizzah Fatima amekuwa akiogopa kwamba jina la igizo lake linalochezwa na mhusika mmoja, ""Dirty Paki Lingerie,"" (Vazi lisilofaa kuvaliwa hadharani), lingeweza kuwaudhi ndugu zake wa-Asia ya Kusini."
"In 2013 the same crowd has erupted, with a different purpose, for justice.","Mwaka 2013, kusanyiko la namna hii limeshaibuka, mara hii, kwa dhumuni jingine, kutafuta haki."
"The music has to have a ""soothing rhythm"" and a rather narrow musical range.","Muziki una ""ala nyororo"" sambamba na mapigo ya taratibu."
The report highlights a few important statistics :,Ripoti hiyo inaangazia takwimu chache muhimu :
These rights are also essential to the exercise voting rights.,Haki hizi ni muhimu kwa minajili ya kuwezesha haki ya kupiga kura.
He started off:,Alianza kwa kusema:
The man was released on bail shortly afterward.,Muda mfupi baadaye mtu huyo alitolewa kwa thamana.
"@fatma_mesned: For those who want to demand the protesters: We are now in front of al-Malez prison, the female section.","@fatma_mesned: kwa wale wanaoshinikiza kuachiwa huru kwa waandamanaji: kwa sasa tupo mbele ya gereza la al-Malez, upande wa wanawake."
Update - 18:44 pm Maputo time:,Taarifa za hivi punde - saa 12: 44 jioni kwa saa za Maputo:
"The land of knowledge, land of peace— Tarai, Pahad, Himal","Nchi ya maarifa, nchi ya amani— Tarai, Pahad, Himal"
"Michel, who was in the country last month for negotiations, beat more than 60 foreign coaches who had applied for the position which became vacant after Francis Kimanzi was redeployed to become the technical director at FKF.","Michel ambaye alikuwa nchini mwezi uliopita kwa mazugumzo, aliwashinda zaidi ya makocha 60 wa kigeni waliokuwa wameomba nafasi hiyo iliyoachwa wazi baada ya Francis Kimanzi kuchaguliwa kuwa mkurugenzi wa ufundi kwenye shirikisho la kandanda nchini Kenye, FKF."
"New research by Afrobarometer, a project that measures public attitudes in Sub Saharan Africa, suggests that most Africans support two-term presidential term limits for their presidents.","Utafiti mpya uliofanywa na Afrobarometer, mradi unaopima mitazamo ya wananchi katika nchi za kusini mwa Jangwa la Sahara, unaonesha kwamba wa-Afrika wengi wanaunga mkono ukomo wa vipindi viwili tu kwa marais wao."
They established half its heritage sites including Al Azhar.,Walianzisha nusu ya maeneo ya Urithi wa Kairo ikiwa ni pamoja na Al Azhar.
"Image by cosmobot, copyright Demotix (13/03/11).","Picha ya cosmobot, haki miliki Demotix (13/03/11)."
I cannot deny how difficult it is to be away from home.,Nashindwa kukana jinsi gani ilivyo vigumu kuwa mbali na nyumbani.
We certainly can express dissent without ad hominem.,Tunaweza kukinzana bila kudhalilishana.
There is no consolation for those who boycott,Hakuna faraja kwa wale waliosusia
"Questioning the use of public resources to terrorise civilians, Ashaba Godfrey, a student, said:","Akihoji kuhusu matumizi y mali ya umma kuhujumu raia, Ashaba Godfrey, ambaye nni mwanafunzi, alisema:"
The government's categorization of social media platforms as a luxury activity exposed a deep lack of digital literacy among policymakers in the Museveni government.,Serikali kuainisha matumizi ya mitandao ya kijamii kuwa ni shughuli ya anasa kumefichua ukosefu mkubwa wa elimu ya kidijitali miongoni mwa watengeneza sera katika serikali ya Mseveni.
"""And I could have been killed also, going into a Muslim community.""","""Na ningeuawa pia, kwa kwenda tu kwenye jamii ya ki-Islam."""
"Fazal Abbas (@fazlabas), a Mumbai-based Twitter user, brought some historical perspective to the ongoing discourse:","Fazal Abbas (@fazlabas), ambaye ni mtumiaji wa Twita aishiye Mumbai, alitoa historia kuhusiana na tukio hili:"
In previous attack (mehran base) they took two days to clear the premises....,"Je, ni kwamba tunashuhudia tukio jingine la #MehranBase?"
"We'll keep going from tyranny to terrorism to foreign intervention in a closed loop until we find our voice and break the cycle from within. — Iyad El-Baghdadi (@iyad_elbaghdadi) February 3, 2015","Tutaendelea kushuhudia utawala kandamizi, ugaidi na pia kushuhudia uchunguzi wa kigeni miongoni mwetu hadi pale tutakapopata msimamo wa pamoja na kuweza kutatua chngamoto zetu wenyewe. — Iyad El-Baghdadi (@iyad_elbaghdadi) February 3, 2015"
"Someone is saying over & over ""he should step out in handcuffs"". http://bit.ly/12mCD28 #Egypt","Kuna mtu anarudia rudia kusema ""atoke akiwa na pingu"". http://bit.ly/12mCD28 #Egypt"
Photo by Jpaing / The Irrawaddy,Picha na Jpaing /Irrawaddy
Can an umbrella be used as a tool to fight for democracy?,"Je, mwamvuli unaweza kutumiwa kama kifaa cha kupigania demokrasia?"
American lawyer and political commentator Alan Dershowitz.,Mwanasheria wa Marekani na mchambuzi wa mambo ya kisiasa Alan Dershowitz.
"Why are there so many motorcades, both civilian and military, in Accra these days?",Kwa nini kwa sasa kuna misururu mingi ya magari ya raia na ya kijeshi?
Twitter: @presleysylwia.,Anapatikana katika Twita: @presleysylwia.
Kathmandu is getting back to normal.,Jiji la Kathmandu linarudia hali yake ya kawaida sasa.
Photo by Rostand Costa (CC BY 2.0),Picha na Rostand Costa (CC BY 2.0)
Kyiv SIZO - the most interesting facility for the mass media,Kyiv SIZO - taasisi yenye mvuto zaidi kwa vyombo vya habari
"""It seems like people in San Pedro Sula, while they recognize that the problem is very real with the gangs in the city, they also recognize that they can't spend their lives in fear.","""Inaonekana kuwa watu wa San Pedro Sula, wanatambua kuwa uwepo wa magenge ya wahalifu ni tatizo lililo dhahiri, wanatambua pia hawawezi kuishi maisha ya hofu vile vile."
"On July 1, the Ugandan government began enforcing a new law that imposes a 200 shilling daily levy on people using internet messaging platforms, despite protests from local and international online free speech advocates.","Mnamo Julai 1, serikali ya Uganda ilianza kutekeleza sheria mpya inayotoza kodi ya shilingi 200 za Uganda kila siku kwa watu wanaotumia majukwaa ya mtandaoni, pamoja na upinzani mkubwa kutoka watetezi wa uhuru wa kujieleza ndani na nje ya nchi hiyo."
"Many of them face isolation, neglect and loneliness.","Wengi wao wanakabiliana madhila ya kutengwa, kupuuzwa na upweke."
Another blogger under Ndagha agrees with Munthali that Malawi's politics this year is getting hotter.,Mwanablohu mwingine anayeblogu kwenye Ndagha anakubaliana na Munthali kwamba siasa za Malawi mwaka huu zimeshika moto.
Some called for prayer:,Rais Goodluck Jonathan siyo chanzo cha Boko-Haram.
"Recently, Ushahidi maps were deployed in Haiti after the earthquake that devastated the country, as well as after the Chile Earthquake.","Hivi karibuni, ramani za Ushahidi zilitumika nchini Haiti baada ya tetemeko la ardhi kuikumba nchi hiyo, vilevile baada ya tetemeko nchini Chile."
The logo of HiviSasa.,Nemba Ya HiviSasa.
"Second, there is still some confusion about the definition of a ""blogger"".","Pili, bado kuna mkanganyiko kuhusu ufafanuzi wa ""Mwanablogu"" ni nani."
"On top of this, he began receiving direct threats from people associated with Hezbollah.",Zaidi ya hapo alianza kupata vitisho kutoka kwa watu wenye uhusiano na Hezibollah.
"In Egypt, for example, Christians and Muslims both believe that circumcision of girls prevents them from vice and makes them more attractive for future husbands; mothers fear that their daughters cant get married if they have not been cut, according to a report by Stop FGM Middle East, a campaign created in 2013 to raise awareness about FGM and whose aim is to get the message out that FGM exists not only in Africa, but also in many countries in the Middle East and Asia.","Kwa mfano, nchini Misri Wakristo na Waislamu kwa pamoja wanaamini kwamba ukeketaji wa wasichana unawafanya wavutie zaidi waume zao watarajiwa na unawakinga na mabaya, pia wamama huhofia kwamba mabinti zao hawataolewa kama hawatakeketwa, kulingana na ripoti ya Tokomeza Ukeketaji Mashariki ya Kati, kampeni ambayo iliandaliwa mwaka 2013 kuipa jamii uelewa Kuhusu ukeketaji na pia kuuambia ulimwengu kuwa ukeketaji haupo Afrika pekee bali pia katika nchi nyingi za Mashariki ya Kati na Asia."
"It does take away from the time and energy I have to give to my writing, and I’m still working on finding that balance, but I’ve come to terms with the fact that self-promotion (ugly word) is part of the process and the Internet is in many ways leveling the playing field.","Hiyo inapunguza muda na nguvu ambazo ningewekeza katika kazi yangu ya kuandika, bado najaribu kutafuta mizani, lakini imefika wakati nimekubaliana na ukweli kwamba kujiuza (japo ni neno baya) ni sehemu ya mchakato na kwamba Intaneti inafanya kazi kubwa ya kusawazisha uwanja wa mapambano."
"using the title of Islamic republic of Iran, also congratulation to the Iran's nation and leaders.","Kwa jina la jamhuri ya Kiislamu ya Irani, pia nawapongeza taifa la Irani na viongozi wake."
"Le Potentiel writes that French president Hollande's assessment of Human Rights violations in DR of Congo were not taken lightly by the Congolese government as the Francophone Summit is set to take place in Kinshasa, DRC.","Le Potentiel anaandika kwamba tathmini ya Uvunjaji wa Haki za Binadamu nchini DRC Kongo iliyofanywa na Rais wa Ufaransa Hollande haikuchukuliwa kijuu juu na serikali ya Kongo wakati ambapo Mkutano wa nchi zizungumzazo Kifaransa ndio kwanza umeanza mjini Kinshasa, DRC."
That is what most girls who cannot afford further education go for.,Hivyo ndivyo wanavyofanya wasichana wengi ambao hawana uwezo wa kujilipia elimu ya juu.
Pu was banned from all microblogging platforms in China in 2013 after he used them to publicly criticize retired senior leader of the Communist Party Zhou Yongkang.,Pu alipigwa marufuku kufanya chochote kwenye majukwaa ya mitandao ya kijamii nchini China mwaka 2013 baada ya kuwa ameyatumia majukwaa hayo kumkosoa hadharani kiongozi mkuu wa Chama cha Kikomunisti Zhou Yongkang.
"War has focused its gaze on women and moves closer, step by step.","Vita inatishia zaidi wanawake na inakaribia, hatua kwa hatua."
"Right before the marriage they say all kinds of words, but don't talk too much after","Kabla tu ya ndoa watu husema maneno yote ya bashasha, lakini hawafanyi hivyo baada ya kuoana"
The draft law was met by wide objections.,Rasimu ya sheria hiyo imekumbana na vipingamizi vikubwa.
"It was also popular among local telecom providers, who do not directly benefit from the use of foreign-based “over-the-top” services such as WhatsApp.",Na lilipokelewa vizuri miongoni mwa watoa mawasiliano ya simu ambao hawafaidiki moja kwa moja na kutumia mitandao hiyo ya kigeni “mikuu” kama huduma za WhatsApp.
"Journalist Diego Osorno, who specializes in social conflicts, wrote a story for the blog Nuesta Aparente Rendición about the normalistas conflict in Guerrero , specifically the school of Ayotzinapa.","Mwanahabari Diego Osorno, ambaye amejikita zaidi katika kuandikia migogoro ya jamii, aliandika habari kwenye blogu ya Nuesta Aparente Rendición kuhusu mgogoro wa normalistas huko normalistas huko Guerrero , hasa wa shule ya Ayotzinapa."
The International Campaign for Freedom in the UAE called on the authorities to treat Mansoor in accordance with international human rights standards and to allow international rights groups to visit him in prison:,Kampeni ya kimataifa ya uhuru katika UAE iliomba mamlaka kumhudumia Mansoor kwa kufuata viwango vya haki za binadamu kimataifa na kuruhusu makundi ya kimataifa ya haki za binadamu kumtembelea.
He takes me back to the housing projects in Boston where he spent most of his teen years.,Ananichukua hadi kwenye miradi ya nyumba huko Boston mahali ambapo aliishi kwa kipindi chote cha ujana wake.
Do you have a menu?”,Je una orodha ya vyakula?”
Photo from thePresidency of the Republic of Ecuador on Flickr.,Picha kutoka Ofisi ya Rais wa Jamhuri ya Ekuado kwneye mtandao wa Flickr.
"Recently Obama has changed his tune, saying he’d stop dangerous and environmentally disastrous projects like the Keystone pipeline if they showed the environmental impact would be negative.","Hivi karibuni Obama alibadili mtazamo wake, akisema angesitisha miradi yenye hatari kubwa kwa mazingira kama bomba la Keystone kama zingeonyesha athari mbaya za kimazingira."
"Organizers urged those attending to make it a peaceful one, and this became a rallying cry in some areas of the city on Tuesday.","Waandalizi waliwataka wahudhuriaji wayafanye (maandamano) yawe ya amani, na huo ndio uliokuwa wito mkuu katika baadhi ya maeneo ya jiji siku ya Jumanne."
"On the first day of that ban, Internet access was cut to the entire country for roughly 75 minutes.","Siku ya kwanza ya marufuku hiyo, huduma za internet zilikatwa nchi nzima kwa muda unaokadiriwa ni dakika 75."
"The group claims to have been put under a lot of pressure, and says it has received threats from the authorities.","Kundi hilo linadai kuwa limewekewa shinikizo kubwa sana, na linasema kuwa limepokea vitisho kutoka vyombo vya mamlaka."
Wake up people.,Amkeni jamani.
Credit: Filip Warwick.,Picha: Filip Warwick.
"But it wasn't all bad news in 2009, writes Neumann.","Lakini mwaka 2009 haukuwa na habari mbaya pekee, anaandika Neumann."
If anyone has any complaints all they have to do is make a topic and I'll see it.,"Kama kuna yeyote mwenye malalamiko, anachopaswa kufanya ni kuanzisha tu mada na mimi nitaiona."
Other cases,Kesi Nyingine
In the blog Caracas Chronicles Francisco Toro reacts to the lack of media coverage about the escalating violence and the events on February 19.,Kwenye blogu ya Caracas Chronicles Francisco Toro anashutumu kutokuwepo kwa vyombo vya habari vya kimatafa kutangaza ghasia na matukio yanayoendelea kukua tangu Februari 19.
"And that’s a fear for me, because I don’t know what I would do.”","Hii ndio hofu kubwa niliyonayo, kwa kuwa sijui nitafanya nini.”"
The promised landmark difference with the previous processes was to be that the draft constitution was going to be simultaneously released to both the government and the public and a referendum held.,Pendekezo hilo ambalo ni la pekee lilikuwa kwamba rasimu hiyo ya katiba ingetolewa kwa wakati mmoja kwenda serikalini na kwa wananchi na wakati huo huo kura ya maoni ingefanyika.
"Meanwhile, Tala is shaken by the news and tweets:","Wakati huo huo, Tala amestushwa na habari hii na kutwiti:"
Just a mirage?,Ni mauzauza tu?
He also shares the hotline number for information and inquires on the crash:,Pia anatoa namba ya simu ya maelezo na maswali juu ya ajali:
Bahraini human rights activist Maryam Al Khawaja says:,Mwanaharakati wa haki za binadamu wa Bahraini Maryam Al Khawaja anasema:
Azad Master noticed this:,Azad Master alitoa taarifa hii:
"Whatever the case may be, memes like this nicely illustrate the Russia's ever-growing ethnic tensions.","Vyovyote iwavyo, mambo kama haya yanaonyesha picha halisi ya matatizo ya ubaguzi wa rangi unaozidi kushika kasi nchini Urusi."
"We hit a record number of visits in a single day - 157,000!","Tumefanikiwa kuweka kumbukumbu nzuri ya kutembelewa na watu 157,000 kwa siku moja."
"On Twitter, celebrations are in full swing.","Kwenye mtandao wa twita, vifijo vilitamalaki."
"They include growing inequality in the especially invidious form of ethnic stratification Diversity has also been associated with reduced democracy, slowed economic growth, falling social cohesion and foreign aid, as well as rising corruption and risk of civil conflict","Yanayojumuisha ongezeko la ukosefu wa usawa hasa kwenye namna ya ubaguzi wa matabaka yanayotokana na asili za watu Utofauti pia umehusishwa na kupungua kwa demokrasia, kuzorota kwa uchumi, kuporomoka kwa mshikamano wa kijamii na misaada kutoka nje, vile vile ongezeko la ufisadi pamoja hatari ya migogoro ya kiraia"
G8 logo.,Nembo ya G8.
We are not writing about digital rights in principle or in theory — we are writing about how they play out for real people.,Hatuandiki kuhusu kanuni au nadharia ya haki za kidijitali— tunaandika namna zinavyosaidia watu halisi.
But this does not lie not beyond our ability to forgive.,Lakini hili halipo mbali na uwezo wetu wa kusamehe.
"Currently the Yukpa Indians have taken over the ranches, and the landowners who live off meat and dairy production are unable to continue their work.","Kwa sasa Wahindi wa ki-Yukpa wameyatwaa tena mashamba hayo makubwa, na wale wamiliki waliokuwa wakiyashikilia na ambao walitegemea nyama na uzalishaji wa mazao ya mifugo kuendesha maisha wanashindwa kuendelea na kazi zao."
"From Turkey, Engin Onder describes how Turkish Twitter users spread the word on how to circumvent the block:","Kutoka Uturuki, Engin Onder anaeleza namna watumiaji wa Twita walivyosambaza ujumbe wa namna ya ""kuuzunguka"" ufungiaji huo:"
"So, while Japan's ""celibacy syndrome"" may exist, it may only be between heterosexual couples in long-term relationships.","Kwa hiyo, wakati ""dhana ya useja"" inaweza kuwepo, inaweza kuwa ni miongoni mwa wanaondoa wa muda mrefu wanaofanya ngono nje ya ndoa"
"Over the past 40 years, Filipino artist Federico Boyd Sulapas Dominguez has been painting the efforts of indigenous peoples to combat destructive mining, development aggression, and militarization.","Kwa kipindi cha miaka 40 iliyopita, msanii wa Kifilipino Federico Boyd Sulapas Dominguez amekuwa akiandaa picha zinazoonesha harakati za wazawa katika kukomesha uchimbaji madini wa uharibifu, utafutaji maendeleo usiojali haki, pamoja na matumizi ya nguvu za kijeshi."
We knw those homos and lesbians have always been part of our society.,Tunajua hawa mashoga na wasagaji wamekuwa siku zote sehemu ya jamii yetu.
They also collected signatures at the besada.,Pia walikusanya saini besada.
Those arrested worked in media without a permit in addition to committing acts which break the law.,Walioshikiliwa walikuwa wakijihusisha na uandishi wa habari bila ya kibali na pia kufanya mambo ambayo ni kinyume na sheria.
My name is Rinu Ochiagha Oduala.#IAmIgboToo,Jina langu ni Rinu Ochiagha Oduala #MimiNiIgbo
Photo by @siao88,Picha kwa hisani ya @siao88
"“He inherited a very politically and economically mismanaged legacy … and it was a very tall order to get the country running, to try to get the confidence of very important external players in Malawi,” said Dimpho Motsamai, a political analyst at the Institute for Global Dialogue in South Africa who specializes on Malawi.","“ Alirithi hali mbaya sana kisiasa na uchumi uliodorora…na ilikuwa kazi ngumu kuiendesha nchi, kurudisha imani ya watu muhimu wa nje,” alisema Dimpho Motsamai, Mchambuzi wa masuala ya kisiasa wa Taasisi ya majadiliano ya Kidunia ya Afrika Kusini anayejikita nchini Malawi."
"A simple apology from former President Mbeki, on his denialism about HIV causing AIDS which to 300 000 deaths, would have sufficed. — Muzi_Maseko (@liNgcamane) March 9, 2016","Tamko jepesi la kuomba radhi kutoka kwa Rais mstaafu Mbeki, kuhusu imani zake za kudai VVU haisababishi UKIMWI na kusababisha vifo 300,000 lingetosha."
Classify them?,Tunawawekaje kwenye makundi yao?
It also includes a brief explanation of the problem.,Pia ilihusisha maelezo mafupi kuhusu tatizo hili.
But he didn’t stop there.,Lakini hakuishia hapo.
He’s also had minor roles in Western movies like Tinker Tailor Solider Spy and Wanted.,Pia alichea kama mshiriki kwenye filamu za kimagharibi kama Tinker Tailor Solider Spy na Wanted.
"However, before the official marriage itself, the two will have their traditional custom engagement on 14th February, 2010.","Hata hivyo, kabla ya kufunga ndoa rasmi, wawili hao watakuwa na sherehe zxa kitamaduni za uchumba tarehe 14, Februari 2010."
Her first tweets reflect the beginning of the clashes:,Twiti zake za kwanza zinaonyesha sura kamili ya namna mapigano yalivyoanza:
Enjoy Africa Day!,Furahia siku ya Afrika!
Photo by Fernando Lugo APC and used under a Creative Commons license.,Picha na Fernando Lugo zilizo chini ya haki miliki huria kwa umma.
"I do not know Abel today, but I look forward to the day I will.","Hadi sasa, simfahamu Abel, lakini nina imani siku moja nitamfahamu."
It was created in 2011 in the aftermath of the post-electoral crisis. The hashtag was revived again as floods marred Abidjan and the rest of the country.,Ilianzishwa mwaka 2011 wakati wa ghasia za baada ya uchaguzi na ikazinduliwa kwa mara nyingine tena wakati mafuriko yaliyoikumba Abidjan na nchi hiyo yote.
"This blog provides curiosities, cynicism, and commentary.",Blogu hii inakuletea udadisi na maoni.
"Joining a chorus of other opposition politicians and civil society organisations, MMD President Nevers Mumba commented:","Akiungana na wanasiasa wengine wa upinzani na asasi za kiraia, rais wa MMD Nevers Mumba alikuwa na maoni haya:"
"To ensure this, it is imperative that international NGOs be allowed access to al-Sadr prison to visit Mansoor.","Ili kuhakikisha hili, ni muhimu mashirika binafsi yaruhusiwe kuingia na kumtembelea Mansoor."
"Back in March, two other prominent human rights activists and co-founders of ACPRA were found guilty and sentenced to 10 and 11 years in jail for “breaking allegiance to the ruler and his successor” and “trying to impede the country’s developments”.","Hapo awali mwezi Machi, wanaharakati wengine wawili mashuhuri wa haki za binadamu na waanzilishi wa ACPRA walikutwa na hatia na kuhukumiwa kifungo cha mpaka miaka 10 na 11 jela kwa ""kuvunja kiapo cha utii kwa kiongozi na mrithi wake"" na ""kujaribu kuzorotesha maendeleo ya nchi""."
See more of Natali's photographs on Instagram.,Zaidi angalia picha za Natali kwenye Instagram.
"For the majority of African countries, social welfare systems are still evolving.","Kwa nchi nyingi za ki-Afrika, mifumo ya ustawi wa jamii bado inaendelea kukua."
"To those who are saying we will become dogs if Ma-Ba-Tha no longer exists, now let me ask have we always been dogs many years before Ma-Ba-Tha came? :p:p:p:p:p","Kwa wote wanaosema tutakuwa mbwa kama Ma-Ba-Tha haitakuwepo tena, nataka kuwauliza; je tumekuwa mbwa kipindi chote ambacho Ma-Ba-Tha hawakuwepo? :p:p:p:p:p"
Daniel Elombah is the publisher of elombah.com.,Daniel Elombah ni mchapishaji wa elombah.com.
Blogging is a part of our daily life.,Kublogu ni sehemu ya maisha yetu ya kila siku.
Bu some netizens are not supportive of the campaign.,Lakini raia wengine wa mtandaoni hawaiungi mkono kampeni hiyo.
"I shall be in the “Apoema tapu gezondheid zentrum” on November 28, 29 to work again with the same team, to vaccinate all people living on both sides of the borders in this franco–Surinamese archipelago.","Nitakuwa eneo la ""Apoema tapu gezondheid Zentrum"" mnamo Novemba 28, 29 kufanya kazi tena na timu hiyo, kuwapa chanjo watu wote wanaoishi katika pande zote za mipaka katika kisiwa cha franco-Surinamese."
Obama says that the future of Cuba is a matter for Cubans to decide.,Obama anasema kwamba mustakabali wa Cuba ni jukumu la wa-Cuba kuamua.
"We call on the British government and the British people to take all feasible steps to oblige Israel to comply with these demands, starting with a programme of boycott, divestment and sanctions.""","Tuanitaka serikali ya Uingereza na watu wa Uingereza kuchukua hatua zote zinazowezekana za kuitaka Israeli ikubaliane na madai haya, kwa kuanza na programuya ususiaji, kuondoa vitega uchumi, na vikwazo."""
"For example, LordRaj asks:","Kwa mfano, LordRaj anauliza:"
And rue an opportunity missed.,Na usikitikie fursa iliyopotea.
"They have promoted the idea of ""foreign interference"" and then abused it to crackdown","Wao ndio wanatangaza dhana ya ""kuingiliwa na wageni"" na kuitumia vibaya kukandamizaji"
The complete transcripts of the one hour and 30 minutes event can be accessed here.,Nakala kamili ya tukio hiyo ya saa moja na nusu yanaweza patikana hapahere.
"Finally, Oblitas concludes with the following questions :","Hatimaye, Oblitas anahitimisha kwa swali hili lifuatalo :"
"At this point, bare human instinct is at work, the need to protect your loved ones, the need to ensure shelter and the instinct of fight or flight.","Katika kipindi hiki ni haja za kibinaadamu opekee ambazo zinafanya kazi, haja ya kuwalinda wale uwapendao, haja ya kuhakikisha unayo malazi na maamuzi ya haraka ya aidha kukimbia au kupigana."
"An accompanying statement by State House made similar claims, saying that Barrick had agreed to pay what the government has said its owed to them.","Taarifa iliyotolewa baadae na Ikulu ilirudia maelezo kama hayo, ikisema kwamba Barrick imekubali kulipa kile ambacho serikali imesema inawadai."
https://twitter.com/zeitonline/lists/ukraine,https://twitter.com/zeitonline/lists/ukraine
"The shift is monumental but it comes with significant challenges, noted Christina Higgins:","Mabadiliko hayo ni ya kihistoria lakini yanakuja na changamoto kadhaa, kama alivyobainisha Christina Higgins:"
"@simsimt: I endured severe beating up on my head w/ a rock, 'cause my phone while in their possession, received a call from the U.S. #SudanRevolts","@simsimt: Nilistahimili vipigo vikali kichwani kwangu kwa jiwe, kwa sababu simu yangu waliyokuwa wanaishikilia ilipigiwa simu kutoka Marekani. #SudanRevolts"
He would have liked that.,Yeye angependa iwe hivyo.
The second reason is the reaction to the Shahbag mass-uprising.,Sababu ya pili ni muitikio wa idadi kubwa ya watu wanaounga mkono Shahbag.
When did your family fall apart?,Ni wakati gani ambapo familia yako ilijitenga?
"Agoras report predicts that public prosecutors may shift towards using other, less severe articles in both the criminal and administrative codes to punish dissent.",Taarifa ya Agora inatabiri kuwa waendesha mashitaka wa serikali wanaweza kubadili na kutumia ibara nyingine za jinai na uendeshaji ambazo sio kali sana kuwaadhibu wapinzani.
"When at some occasions I said just that, it appeared that some have the notion that we’re unnecessarily wealthy, that is, it’s undeserved wealth; while theirs is hard worked for.","Mara nyingine nilipoeleza kuhusu ninakotoka wapo wanaoamini kwamba sisi ni matajiri kupita kiasi, lakini utajiri ambao hatukuustahili; wakati ambapo wao waliufanyia kazi utajiri wao."
It was widely covered by the Russian mainstream media and discussed on the countless blogs.,Ilichukuliwa pia sana na kuchapishwa na vyombo vikuu vya habari za Urusi na kujadiliwa sana katika blogu nyingi.
"As Internet access is sparse and often prohibitively expensive outside of cities, many of the people blogging from rural areas are Peace Corps Volunteers (PCVs) and are therefore positioned to give an outsiders' perspective...from the inside.","Kwa kuwa upatikanaji wa intaneti upo sehemu chache n amara nyingi ni wa aghali mno nje miji mikubwa, wengi wanaoblugu kutokea sehemu za mashamba ni Wafanyakazi wa Amani wa Kujitolea (PCVs) na kwa hiyo wako katika nafasi ya kuweza kutoa mitazamo kama wageni kutoka nje… walioko ndani."
"When everyone was going crazy about the opening match I was going crazy with nowhere to watch #2010memories — Khulekani.Mathe (@knmathe) June 11, 2015","Wakati kila mmoja akifuatilia mechi ya ufunguzi, nilikuwa nimechanganyikiwa nisijue wapi nikatazame mchezo huo"
"But as is customary—and in spite of different regulations which prohibit it—students were confronted by a unit of armed police, culminating in the death of 21-year-old William Florián Ramírez , a third-year medical student, hit by a bullet to the chest.","Lakini ilivyo kawaida -na licha ya kuwepo kwa sheria mbalimbali zinazozuia -wanafunzi hao walikuwa wanakabiliwa na kikosi cha polisi wenye silaha, na kusababisha kifo cha William Florian Ramirez mwenye umri wa miaka 21, mwanafunzi wa mwaka wa tatu wa udaktari, aliyepigwa risasi kifuani."
"On misconceptions that non-Iranians have about Iran, she explained:","Katika mtazamo mbaya walio nao watu wasio wa-Irani dhidi ya Irani, alifafanua:"
"One of the opposition's two major outlets has called the referendum a ""constitutional coup"" because the poll was neither free, fair, impartial nor transparent"" and took place ""under siege conditions"".","Vyombo viwili vikuu vya habari vinavyomilikiwa na vyama vya upinzani vimeita kura hiyo ya maoni ""Mapinduzi ya kikatiba"" kwa sababu kura hiyo haikuwa huru, wala haki, ilijaa upendeleo bila uwazi"" na ilifanyika ""katika mazingira ya utekaji""."
"An 11-year old Christian girl, Rimsha Masih has been accused of blasphemy and has been remanded for 14 days to a juvenile prison in the twin city of the Pakistan capital, Rawalpindi.","Msichana wa Kikristo mwenye umri wa miaka 11, Ramsha Masih amehukumiwa kwa kukashifu imani na ameshikiliwa kwa siku 14 katika gereza la watoto katika jiji pacha la mji mkuu wa Pakistani liitwalo Rawalpindi."
Screenshot via KTN News Kenya on YouTube.,Picha ilipigwa kwenye YouTube kupitia chombo cha habari cha KTN cha Kenya.
And please consider supporting our work with a donation.,Na tafadhali fikiria kuunga mkono kazi yetu kwamchango wako
"Besides the education, a meal for every student is given as an incentive for enrollment.","Mbali na elimu, kutolewa kwa chakula kwa kila mwanafunzi, imekuwa kama hamasa kwa ajili ya kuwavutia wanafunzi kuandikishwa mashuleni."
The families of the victims have refused to bury their dead and have announced that they will continue a sit-in unless the army takes action against the killing sprees.,Familia za wahanga zilikataa kuzika miili ya ndugu zao na wametangaza kuwa wataendelea na maandamano ya kupinga unyanyasaji wa kikabila hadi hapo jeshi litakapochukua hatua ya kukomesha mauaji haya ya kinyama.
"While he does not specify the exact amendments with which he objects, he comments in his address Why I resigned from the Gaza Freedom March coalition:","Wakati hayaweki wazi mabadiliko ambayo anayapinga, anatoa maoni katika makala Kwa nini nilijiuzilu kutoka kwenye Muungano wa Maandamano ya Uhuru Gaza:"
Shufei made a case for a change in government:,Shufei alijenga hoja ya ulazima wa mabadiliko ya serikali:
"I am going for a retreat, I am not on holiday.","Ninaenda mapumzikono, sina likizo."
They are now testing the limits of online regulation.,Hivi sasa wanaijaribu mipaka ya udhibiti wa kwenye mtandao.
To be considered as a guest blogger at AFKInsider one has to simply submit your blog or stories from your blog for review by our panel editors through info@afkinsider.com.,Kuchukuliwa kama mwanablogu mgeni katika AFKInsider unahitajika tu kuwasilisha blogu yako au hadithi kutoka blogu yako kwa mapitio na jopo letu la wahariri kupitia anwani ya barua pepe info@afkinsider.com.
One burst into the restaurant and opened fire.,Mtu mmoja alilipua bomu kwenye mkahawa.
"@MKSesay: ""Young people all over the world are doing great things""...","@MKSesay: ""Vijana kote duniani wanafanya mambo makubwa""..."
