yo,sw
"Lóòní, àwá ní ìfihàn ju àwọn tí wọn ńgbé ṣáájú àjíǹde Kristi; àwá ní òye l'ẹ́kùnrẹ́rẹ́.",Leo hii tuko na ufunuo mwingi kuliko watu walioishi kabla ya kufufuka kwa Yesu;  twaijua picha kamili.
"Nítorí náà, Ọlọ́run gba àwọn angẹli tí wọn ní òmìnira àti àwọn ènìyàn wọ̀nyìí láàyè láti yan rere tàbi kọ rere (ibi).","Kati ya kitu kizuri Mungu aliumba, vilikuwa viumbe vyenye uhuru wa kuchagua lililo jema."
Ó jọ wípé ẹsẹ yìí ńla ìlànà kalẹ̀ fún àwọn ìbáṣepọ̀ nípa ti ìbálòpọ̀ nínú ìgbeyàwó.,aya hii huenda yanakili kanuni za uhusiano wa mapenzi katika ndoa.
Àyọkà tí ó ṣe àlàyé ìgbàsókè ní ẹ̀kúnrẹ́rẹ́ wà nínú 1 Tẹssaloníka 4:13-18.,Kifungo cha Bibilia kinachohusu unyakuzi ni 1 Wathesalonike 4:13-18.
"Ó ṣeé ṣe, ṣùgbọ́n àwa yóò nílò láti dúró láti mọ̀ọ́.","Itakuwa sawa na nchi hii ya sasa, au pengine nchi iumbwe upya lakini isiwe na laana yoyote au dhambi."
"Awon enia si ti so eyi di ohun apapo, ohun ilo ti o je wipe lati iran kan si iran ni won si ti so eyi di ohun miran.","Kadri dunia inavyoendelea, vilema hivi vinaendelea kuzidi."
Idahun,Jibu
Ìjọ ní láti kọ́ ẹ̀kọ́ Bíbélì kí á le gbilẹ̀ nínú ìgbàgbọ́ wa.,Kanisa yafaa kufundisha funzo la kibibilia ili tuweze kukua katika misingi ya imani yetu.
"Àwọn ẹ̀ṣẹ̀ ""aṣekúpani"" méje ni ìgbéraga, owú, wọ̀bìa, ìfẹ́kùfẹ́, ìbínú, ojúkòkòrò, àti ọ̀lẹ.","Kulingana na Papa Gregory mkuu katika karne ya 6, dhambi saba chukizo kwa Mungu ni hizi zifuatazo: kiburi, husuda, ulafi, tamaa, hasira, uroho, na uzembe."
Àwọn Àfojúsùn méjì yókù kò ní ìṣòro yìí.,Mitazamo mingine miwili haileti shida hii.
"Ní ibí yìí, lẹ́yìn àṣẹ àkíyèsí Ọjọ́ Ìsinmi nínú ẹsẹ̀ 12-14, Mose sọ ìdí tí a fi fi Ọjọ́ Ìsinmi fún orílẹ̀-èdè Isrẹli: ""Sì ráńtí pé ìwọ ti ṣe ìráńsẹ́ ní ilẹ̀ Egipiti, àti pé Olúwa Ọlọ́run rẹ mú ọ láti ibẹ̀ jáde wá nípa ọwọ́ agbára, àti nípa nína apá.","Hapa baada ya kuamrisha jinsi ya kuitunza sabato katika aya ya 12-14, Musa anatoa sababu ya sabato ambayo sabato ilipewa kwa taifa la Israeli: “Nawe utakumbuka ya kuwa wewe ulikuwa mtumwa katika nchi ya Misri, na  akuwa BWANA, Mungu wako, alikutoa huko kwa mkono wenye nguvu, na mkono ulionyoshwa; kwa sababu hiyo BWANA Mungu wako, alikuamuru uishike sabato” (Kumbukumbu La Torati 5:15)."
Pada si oju ewe Yorùbá,Rudi kwa ukurasa wa nyumbani wa Kiswahili
Ohunkóhun àti gbogbo ìbálòpọ̀ àti ere-àkọ́ṣe ṣáájú ìbálòpọ̀ kò gbọ́dọ̀ kọjá àárín àwọn tọkọtaya tí wọ́n ti ṣe ìgbéyàwó.,Matendo ya ngono kabla ya ndoa lazime yakaziwe wachumba.
Ní òtítọ́.,Bibilia ya Kiibrania yasema ni Isaka.
"Nítorí a ti ṣẹ̀ sí Ọlọ́run àìlópin, bóyá ẹni tí kò l'ópin (àwa) gbọ́dọ̀ san gbèsè ẹ̀ṣẹ̀ wa fún iye àkókò àìlópin, tàbí Ẹni àìlópin (Jésù) gbọ́dọ̀ san gbèsè ẹ̀ṣẹ̀ wa ni ẹ̀ẹ̀kan.","Kwa sababu tumenda dhambi kinyume na Mungu aishiye milele, pengine mtu (sisi) asiyeishi milele atalipa karama ya dhambi zetu kwa wakati usio na kadirio, au mtu aishiye milele (Yesu) lazima alipie dhambi zetu wakati mmoja."
English,English
"Ìjọ jẹ́ ara Kristi, èyítí Òun jẹ́ Orí fún.",Mwili wa Kristo uko na sehemu mbili:
"Àjọ náà yọrí sí ààbò, àbájáde gidi, àti ìjáde (Iṣe àwọn Apọsteli 2:41-47).","Mpangilia waelekeza, uchungaji, ukuaji, na huduna za uinjilisti (Matendo ya Mitume 2:41-27)."
"Ní ọ̀pọ̀lọpọ̀ ìgbà ọ̀pọ̀lọpọ̀ Kristiẹni a ma fi àdúrà dọ́gba pẹ̀lú ""rírí nǹkan gbà lọ́wọ́ Ọlọ́run"", ti àdúrà ẹlẹ́gbẹ́jẹgbẹ́ di ayẹyẹ pàtàkì láti ka àkójọ àwọn ohun tí à ńfẹ́.","Kwa umbali sana, Wakristo wanazawazisha maombi  na “kupata vitu kutoka kwa Mungu” na maombi yanakuwa mahali pa kukalili idadi ya haja zetu."
"Jesu wipe, “Emi ni ajinde, ati iye; eniti o ba gba mi gbo, won ki yo segbe” (Johannu 11;25-26).",Wanapawa uzima wa milele kwa kuniamini mimi na hawatapotea…” (Yohana 11:25-26).
Idahun,Jibu
"Yio si je bi ase ti Olorun fun wa lati owo Aposteli Paulu, “Bi enikni ba fi ede fo, ki o je enia meji, tabi bi o potan, ki o je meta, ati eyini li okokan; si je ki enikeni gbufo.","Ukizungumza kwa ndimi na ikitafsiriwa, unawakamilisha wote.” Hakuna mahali katika agano jipya, Biblia inapotoa maagizo watu waombe kwa ndimi."
English,English
"Ní òpin ìpọnjú ọdún méje yìí, Aṣòdìsí Kristi náa yóò kọjú ìjà ìkẹhìn si Jèrúsálẹ́mù, tí yóò já sí ìjà Àmágẹdọ̀.","Mwisho wa matezo ya miaka saba, yule mpinga Kristo ataunda kikosi cha kufamia Yerusalemu, vikianzisha vita vya Amagedo."
Olorun lefun enia ni ebun ede lati eni na soro ni ede miran.,Mungu anaweza kumpa mtu kipawa cha kuongea kwa ndimi ili kumwezesha kuwasiliana na mtu wa lugha nyingine.
"Ní ìbáramu pẹ̀lú òwe onídàájọ aláìsododo náà, iṣẹ́ ìráńṣẹ́ Jésù nínú àyọkà yìí ni wípé bí ènìyàn bá jẹ́ ara ni ara rẹ̀ lára láti pèsè fún àìní ọ̀rẹ́ rẹ̀, Ọlọ́run yóò pèsè fún àwọn àìní wa jù bẹ́ẹ̀ lọ, nígbàtí ó jẹ́ wípé kò sí ìbéèrè wa kan tí yóò ni Òun lára.","Ulio sawa na mfano wa hakimu asiye haki, ujumbe wa Yesu katika ufahamu huu ni kwamba ikiwa mtu atajinyima ili awapatie marafiki walio na mahitaji, Mungu atatutimizia mahitaji yetu, kwa vile hakuna hitaji ambalo ni sumbuvu kwa Mungu."
"Àwọn ẹlòmìràn tí wọ́n ńrí wa bí a tí ńsin Olúwa ní ọ̀pọ̀lọpọ̀ ìgbà le dá ẹ̀bùn ẹ̀mí tí a ńlò mọ̀, èyí tí a lè má mọ̀ tàbí kọ bi ara sí.","Watu wengine wanaotuona tukimtumikia Mungu, kila mara wanaweza kutambua kipawa cha Roho Mtakatifu ndani yetu chenye sisi wenyewe tunakipuuza au kukosa kukitambua."
"Jesu Kristi, Olorun eleran ara, wa si ile aye lati wa fun wa ni ebun iye ainipekun.","Bibilia inatuambia yakwamba sio maisha pekee tu baada ya kifo, bali kuna uzima wa milele wenye utukufu mwingi “Hakuna jicho limeshaona, wala sikio kuyasikia,wala hayakuingia katika moyo wa mwanadamu,mambo ambayo Mungu aliwaandalia wampendao’’ (1Wakorintho 2:9) Yesu Kristo, Mungu katika mwili, alikuja duniani kutupa karama ya uzima wa milele."
Wíwà nínú ara Rẹ̀ túmọ̀ sí wípé a jí wa dìde pẹ̀lú Rẹ̀ sínú ayé ọ̀tun (Romu 6:4).,"Kuwa na mwili wake, yamaanisha, tumefufuliwa naye kwa upya wa uzima (Warumi 6:4)."
"Àwọn olùtúmọ̀ Hébérù ní ṣàájú ati àkọsílẹ̀ tí ó wọ́pọ̀ ṣùgbọ́n tí kìí ṣe òtítọ́ àti àwọn àkọsílẹ̀ tí kìí ṣe ti Bíbélì tí a ńpè ni ti Bíbélì fẹnukò nípa àfojúsùn tó sọ wípé ańgẹ́lì tí ó ti ṣubú ni ""àwọn ọmọ Ọlọ́run"" tí a sọ nípa nínú Jẹnẹsisi 6:1-4.","Wafafanusi wa kwanza wa Kiibrania na unabii wa mafumbo na uandishi wa jumla wote wako pamoja  wakishikilia mtazamo kuwa, malaika walioanguka walikuwa “wana wa Mungu” vile imetajwa katika Mwanzo 6:1-4."
"Ìṣiyèméjì jiyàn wípé a kò lè fi wíwà láàyè Ọlọ́run hàn tàbí kò ṣèé fihàn, wípé kò ṣeé ṣe láti mọ̀ bóyá Ọlọ́run wà tàbí kò sí.","Agnostisisme argumenteer dat God se bestaan nie bewys of ontken kan word nie, dat dit onmoontlik is om te weet of God bestaan of nie."
English,Jibu
Àwa gbọ́dọ̀ ránti wípé oríṣi òǹkọ̀wé tí ó tó ogójì (40) ló kọ Bíbélì fún àkókò bíi ẹgbẹ̀rùn ọdún ó lé ni ẹ̀ẹ́dẹ́gbẹ̀ta (1500).,Lazima tukumbuke kwamba Bibilia iliandikwa na takribani watu 40 takribani kwa kibindi cha miaka 1500.
"Ààmìn ni íṣe láàrin Ẹ̀mi àti láàrin àwọn ọmọ Israẹli títíláí: nítorí ní ijọ́ mẹ́fà ni Olúwa dá ọ̀run àti ayé, ní ijọ́ kèje ó sì sinmi, ó sì se ìtura"" (Ẹksodu 31:16-17).","Ni ishara kati ya mimi na wana wa Israeli milele; kwani kwa siku sita BWANA alifanya mbingu na nchi, akastarehe kwa siku ya saba na kupumzika” (Kutoka 31: 16-16)."
Ọlọ́run ti sọ wípe a má ńlọ láìní nítorí a kò béèrè (Jakọbu 4:2).,Mungu amesema kuwa kila mara tunaenda bila kwa sababu hatuulizi (Yakobo 4:2).
Àwọn ọmọ-ẹ̀hìn àti àwọn ìyókù rí ibojì níbi tí wọ́n sín sí.,Wanafunzi wa Yesu na wengine waliliona kaburi alimozikwa Yesu.
"A si mo wipe isegun ni o so fun won lori satani ati ebi re (1 Peteru 3;22, Kolosse 2;25).",Pengine ilikuwa ni kutangazwa kwa kushindwa kwa shetani na milki yake (petro wa kwanza 3:22; wakolosai 2:15).
"Nígbàtí ó bá ńyà wà lẹ́nu ìdí tí Ọlọ́run fi gba àwọn nǹkan burúkú láàyè láti ṣẹlẹ̀ sí ẹni rere, yóò tún dára láti gbé àwọn nǹkan mẹ́rin wọ̀nyìí yẹ̀wò nípa àwọn nǹkan burúkú tí ó ṣẹlẹ̀:",Ni kwa nini maovu yanawapata watu wema?
Ìfẹ́ jẹ́ ìmọ̀lára kan tí o lágbára gan-an.,Mapenzi ni mhemuko wa nguvu sana.
Ọlọ́run nìkan ni o mọ ní òtítọ́ bí wọn ṣe ńṣiṣẹ́ papọ̀ nínú ètò ìgbàlà Rẹ̀.,Ni Mungu pekee kwa kweli anajua vile vinafanya kazi pamoja katika mpango wake wa wokovu.
"Àkọ́kọ́, tí kò bá sí ìtọ́kàa ẹsẹ̀ Bíbélì ní pàtó, yóò dára làti bèèrè kìí ṣe nígbàtí nǹkan kìí bá yẹ, ṣùgbọ́n, tí ó bá dára bákannáà.","Kwanza, wakati hakuna nukuu ya maandiko, ni vizuri kuuliza sio kama kitu fulani ni makosa, lakini, kama ni kizuri."
"A ni lati mon wipe a ko gbodo se ayanfe si awon enia kan, tabi ero buburu tabi ti iran (Jakobu 2:1-10, wo ori ese 1 ati 9).","Sote natujihadhari tusije tukaonyesha ubaguzi wa rangi kwa wengine (yakobo 2: 1-10, tazama aya ya 1 na 9)."
Òun gbé ẹrù àti ìdájọ́ ẹ̀ṣẹ̀ wa ru ara Rẹ̀ (2 Kọrinti 5:21).,Kupitia kwa kitendo hicho kibaya Yesu akafa kwa ajili yetu (2Wakorintho 5:21).
"Ní òpin ẹgbẹ̀rún ọdun yìí, a ó tún tú Sátánì sílẹ̀, yóò gba ìjákulẹ̀ lẹ́ẹ̀kan si, a ó sì sọọ́ sínú adágún iná (Ifihan 20:7-10) títí ayérayé.","Mwisho wa miaka elfu moja, shetani atafunguliwa na kushindwa tena na kutupwa katika tanuru la moto (Ufunuo Wa Yohana 20:7-10) milele yote."
Ọlọ́run ní inú dídùn sí ọkàn wa nígbàtí a bá ńgbàdúrà ju bí Òun ti ní inú dídùn nínú àwọn ọ̀rọ̀ wa.,Mungu ako na haja na mioyo yetu wakati tunaomba kuliko aja aliyo nayo kwa maneno tunayoomba.
Ìtumọ̀ gẹ́gẹ́ bíi wọn ṣe kọ́ kò yọ àǹfàní láti lo àkànlò èdè kúrò.,‘n Letterlike vertolking ontneem nie die moontlikheid van ‘n figuurlike spraak nie.
,"Kí ẹ máa pọ̀ sii ní iṣẹ́ Olúwa nígbàgbogbo, níwọ̀n bí ẹ̀yín ti mọ̀ pé iṣẹ̀ yín kì íṣe asán nínú Olúwa (1 Kọrinti 15:58)."
A gbọ́dọ̀ gba Jésù nípa ìgbàgbọ́!,Je!
"Nínú àwọn àyọkà wọ̀nyìí, bí ó tilẹ̀ jẹ wípé a fún wa ní ìkìlọ̀: a kò gbdọ̀ jẹ́ kí ẹnikẹ́ni tàn wá jẹ, nítorí wípé ìbẹ̀rẹ̀ ìrora bíi ti ìrọbí ni àwọn ìṣẹ́lẹ̀ yìí, òpin ayé kò tíì dé.","Katika ukurasa huu, ingawa tumepewa onyo: hatustahili kudanganywa, kwa sababu matukio hayo ni ishara ya mwanzo wa machungu; mwisho bado utakuja."
"Gbogbo ẹ̀ṣẹ̀ lòdì gidigidi sí Ọlọ́run (Orin Dafidi 51:4), ati nítorí Ọlọ́run jẹ́ ẹni àìlópin àti ayérayé, ìjìyà àìlópin àti ayérayé nìkan ti tó.",Hel is waar God sonde verdoem en almal wat Hom verwerp het.
"Ọ̀pọ̀lọpọ̀ ènìyàn máa ńṣe àṣìṣe nígbàtí wọ́n bá ka ìwé Ẹksodu 20:13, ""Ìwọ kò gbọdọ̀ pa ènìyàn"", nígbà náà wọn a fẹ́ lo àṣẹ yí nínú ogun.","Watu wengi wanafanya makosa kwa kusoma chenye Bibilia inasema katika Kutoka 20:13, “Usiue” na wanatafuta kutumia amri hii katika vita."
Pada si oju ewe Yorùbá,English
English,English
"Igbagbo ninu Kristi, ki si nipa eya ara, eyi ni Bibeli so nipa yi yan enikeji re.",Imani katika kristo wala sio rangi ya ngozi ndiyo kigezo cha biblia cha kuchagulia mchumba.
"Ní òtítọ́, Bíbélì jẹ́ lẹ́tà ìfẹ́ Ọlọ́run sí ìran ènìyàn.","Upendo wa Mungu kwa viumbe wake, hasa kwa mwanadamu ni wazi katika Bibilia yote."
"Romu 3;10 wipe, “Gege bi a ti ko o pe, ko si eniti nse olododo, ko si enikan.","Warumi 3:10 yasema hivi, “Kama ilivyoandikwa,ya kwamba,Hakuna mwenye haki hata mmoja.” Bibilia inaonyesha wazi ya kwamba sisi sote tumefanya dhambi."
Ọ̀rọ̀ Ọlọ́run ni àṣẹ tí ó ga jùlọ fún ìgbàgbọ́ àti ìṣe Kristiẹni.,Neno la Mungu ndio mizani yetu kwa Imani ya Kikristo na matendo.
Pada si oju ewe Yorùbá,English
"Ní ọ̀pọ̀ ìgbà, àyọrísí ẹ̀sìn elétò jẹ́ ìdíwọ́ fún ètò Ọlọ́run.",Mara nyingi mwisho wa hizi dini za tamaduni ni upotovu kutoka lile lengo Mungu alikua nalo.
"Bí kìí bá ṣe òtítọ́ pátápátá ni, kò bá má dá wa lójú wípé a lè dúró tàbí jókòó lójú kan náà títí a ó fi pinnu láti sún Tàbí bí àròpọ̀ méjì pẹ̀lú méjì kò bá jẹ́ mẹ́rin nígbagbogbo, àwọn ipa lórí ọ̀làjú lè burú jáì.","Kama hatuko kwa uhalisi, hatungekuwa na uhakika kuwa tungesimama au kukaa katika sehemu moja hadi tuamue kusonga."
(Amosi 3:3).,"Watu wawili waweza kutembea pamoja, wasipokuwa wamepatana?” (Amosi 3:3)."
"Ète Ọlọ́run láti fún Isrẹli ní Ọjọ́ Ìsinmi kìí ṣe wípé wọn ó ráńtí ìṣẹ̀dá, ṣùgbọ́n pé wọn ó ráńtí oko-ẹrú ilẹ̀ Egipiti àti ìtúsílẹ̀ Olúwa.","Lengo la Mungu kupeana sabato kwa Waisraeli haikuwa kukumbuka uumbaji, bali waukumbuke utumwa wa Wamisri na kule kuokolewa na Bwana."
"Ìdáríjìn sìgá mímu kò tó ti àwọn ẹ̀ṣẹ̀ yòókù, bóyá fún ẹnití ó fẹ́ di onígbàgbọ́ tàbí onígbàgbọ́ tí ó ńjẹ́wọ́ ẹ̀ṣẹ rẹ̀ sí Ọlọ́run (1 Johannu 1:9).","Uvutaji unasemehewa sawa na vile dhambi zingine, hata kama mtu atakuwa Mkristo au Mkristo akiri dhambi zake kwa Mungu (1 Yohana 1:9)."
"Nígbàmíì, àwọn nǹkan burúkú máa ńṣẹlẹ́ sí wa tí kò lè yé wa.",Kila mara mambo hutupata yenye hatuwezi kuelewa sababu.
Kò sí ìmúṣẹ àsọtẹ́lẹ̀ nípa Mesiah ninú Májẹ̀mú Titun tí kìí ṣe gẹ́gẹ́ bí a ṣe kọ́ sílẹ̀ gẹ́lẹ́.,Hakuna hata neno moja ambalo halijatimizwa la unabii huu katika Agano Jipya.
Ko si ona miran ti a fi le oro woli naa han ninu Bibeli bi kose nipa ise Oluwa.,Hakuna njia mwafaka ya kuelezea ni kwa uwezo gani unabii huu ulitimizwa ispokuwa kukiri ni kwa uwezo wa Mungu.
Ìrújú ńlá kan wà nípa ìbéèrè yìí.,"Kwa hivyo, la!"
"Bí wọn kò bá dẹ́ṣẹ̀ rí, Ọlọ́run kò ní jẹ́ olódodo ní fífi ìyà jẹ wọ́n.","Ikiwa hakuwai kutenda dhambi, basi Mungu hatakuwa wa haki kwa kuwaadhibu."
Àwọn ẹ̀ṣẹ̀ míìrán burú ju àwọn yòókù lọ.,Dhambi zingine ni mbaya zaidi ya zingine.
Nje mo ni agbara lati se ohun gidi?,"Je, nitafanikiwa kuwa na uwezo wa kutimiza jambo la kudumu?"
Àkọsílẹ̀ Oúnjẹ Alẹ́ Olúwa ni a rí nínú àwọn Ìwé Ìhìnrere (Matteu 26:26-29; Marku 14:17-25; Luku 22:7-22; ati Johannu 13:21-30).,Matukio ya mesa ya Bwana yanapatikana katika injili (Mathayo 26:26-29; Mariko 14:17-25 Luka 22:7-22; na Yohana 13:21-30).
"Ọ̀pọ̀lọpọ̀ ènìyàn bèèrè, ""Ṣé àdúrà kan tí mo le gbà wà tí yóò fún mi ní ìdánilójú ìgbàlà?""","Watu wengi wanauliza, “Kunalo ombi ninaweza kuomba liniakikishie wokovu wangu?” Ni muhimu kukumbuka kwamba wokovu haupokewi kwa kukariri maombi au kutaja maneno fulani."
Ẹ̀kejì ni ìgbé-ayé Pọ́ọ̀lù Àpọ́stélì.,Pili ni maisha ya mtume Paulo.
Kínni á tún nílò si?,Tunaihitaji nini zaidi?
"Àti àlàáfíà Ọlọ́run, tí ó ju ìmọ̀ràn gbogbo lọ, yóò sọ ọkàn àtì èrò yín nínú Kristi Jésù.""","Na amani ya Mungu, ipitayo akii zote, itawahifadhi mioyo yenu na nia zenu katika Kristo Yesu.”"
"Isaiah 53:5 tí a sọ nípa rẹ̀ nínú Peteru Kínní 2:24, jẹ́ ẹsẹ̀ gbòógì lórí ìwòsàn, ṣugbọ́n a máa ńṣe àṣìgbọ́ àti àṣìlò rẹ̀ lọ́pọ̀ ìgbà.","Isaya 53:5, ambayo imenukuliwa katika 1 Petero 2:24 ndio kuu juu ya uponyaji, lakini kila mara imeeleweka vipaya na imetumika vipaya."
Ìdáhùn ni wípé ibéèrè náà kò ti lẹ̀ mu ọpọlọ dání.,Jibu kwa swali hili halina maana.
"Ìmọ̀ wa nínú Òun wá láti inú Ọ̀rọ̀ Rẹ̀, èyítí a fi fún ìmúgbèrú àti ìdàgbà wa.","Ufahamu wetu Mungu watoka kwa neno lake, ambalo tumepewa kwa kutujenga na kukua."
Gbogbo àwọn tọkọtayà gbọ́dọ̀ wá ìfẹ́ Olúwa nípa ìgbà tí wọ́n gbọ́dọ̀ gbìyànjú láti bí ọmọ àti iye ọmọ tí wọ́n yóò wá láti bí.,"Ikiwa wanandoa watumia vizuia mimba ili kwa muda wakawishe kupata mtoto hadi pale wamekomaa na wamejitayarisha kifedha na kiroho, basi hiyo imekubalika kutumia vizuia mimba kwa muda."
Kí olúkùlùkù kí ó dá ara rẹ̀ lójú ní inú ara rẹ̀.,Kila mtu na athibitike katika akili zake mwenyewe.
"Dípò jíjẹ́ ọmọ Ọlọ́run, òun jẹ́ ọmọ aláìgbọràn àti ìbínú.","“Nanyi mlikuwa wafu kwa sababu ya makosa na dhambi zenu; ambazo mliziendea zamani kwa kuifuata kawaida ya ulimwengu huu, na kwa kumfuata mfalme wa uwezo wa anga, roho yule atendaye kazi sasa katika tama za miili yetu, tulipoyatimiza mapenzi ya mwili  nay a nia, tukawa kwa tabia yetu watoto wa hasira kama na hao wengine” (Waefeso 2:1-3)."
"Iwe Majemu lailai pase wipe awon omo Isreali, “ Eyin ko gbodo sin gbere kan si ara nyin nitori oku, beli enyin ko gbodo ko ami kan si ara nyin: Emi li OLUWA’( Lefitiku 19:28).","Hata hivyo ijapokuwa waumini kwa sasa hawako chini ya sheria ya agano la kale (warumi 10:4; wagalatia 3:23 – 25; waefeso 2:15), hoja ya kuwa kulikuwa na sheria juu ya chale lazima lituletee maswaliagano jipya haisemi lolote juu ya muumini achanjwe chale au asichanjwe."
Idahun,Jibu
"Ese keta igbala ona awon ara Romu fun igbala fihan ni ibi ti Romu 6;23 pari si, “Sugbon ebun Oluwa si ni iye ainipekun ninu Jesu Kristi Oluwa wa.","Aya ya tatu katika Njia ya Warumi ya Wokovu ya anzia mahali Warumi 6:23 ilipo achia, “bali karama ya Mungu ni uzima wa milele katika Kristo Yesu Bwana wetu.” Warumi 5:8 yasema, Bali Mungu aonyesha pendo lake yeye mwenyewe kwetu sisi, kwa kuwa Kristo alikufa kwa ajili yetu, tulipokuwa tungali wenye dhambi."
"Ó sọ wípé àwọn ẹ̀kọ́ Jésù ní nínú jíjẹ́ ẹbí kannaa àwọn onígbàgbọ́, ṣíṣe pàtàkì ìyípadà àti ṣíṣe pàtàkì sísẹ́ àwọn ọlọ́run kékékèké míìrán.","Alisema kwamba mafundisho ya Yesu yalijumlisha undugu wa wakristo, umuimu wa kuokoka, na umuimu wa kukataa miungu."
"Nítorínáà, bí ó tilẹ̀ jẹ́ wípé Jésù sọ wípé ìfẹ́kùfẹ́ àti àgbèrè jẹ́ ẹ̀ṣẹ̀, ìyẹn kò túmọ̀ sí wípé wọ́n dọ́gba.","Kwa hivyo ingawa Yesu alisema kwamba tamaa na uzinzi zote ni dhambi, hiyo haimanishi kuwa ziko sawa."
Sísẹ́ òtítọ́ pátápátá/òtítọ́ àgbáyé àtí àfiwé àṣà tí ó wá pẹ̀lú rẹ̀ jẹ́ àyọrísí iṣẹ́ ọpọlọ ní àwùjọ tí ó ti fa ẹ̀kọ́ ẹfolúṣàn mọ́ra gẹ́gẹ́ bí àlàyé fún ìgbé-ayé.,Kataa la ukweli halisi/ukweli wa kiulimwengu na usawa wa tamaduni ambao unakuja na matokeo ya kimantiki ya jamii ambayo imekumbatia nadharia ya ufumbuzi kama elezo la maisha.
"Níbẹ̀ ni, gẹ́gẹ́ bí a ti sọ tẹ́lẹ̀, Judasi tí fi Jesu hàn.","Hapa ndipo Yesu alisalitiwa na Yudasi, vile ilivyotabiriwa."
"Ní ìtẹ̀síwájú, òtítọ́ sáyẹ́nsì:","Kwanza, wacha tulifafanue neno “wageni” kama “kuwa na uwezo wa kufanya maamuzi ya kimaadili, kuwa na akili, hisia na hiari.” Enye kufuata ni hoja za kisayansi:"
Àwọn ẹyẹ yóò jẹ ẹran ara àwọn tí ó kọjú ìjà sí Í (ẹsẹ̀ 17-18).,Ndege wa anga watakula miili ya wale waliompinga (aya ya 17-18).
Idahun,Jibu
"Ìjọba kò gbọdọ̀ tako ọ̀rọ̀ Ọlọ́run, torí ìbáwí nípa nínà wà fún èrè àwọn ọmọ, gẹ̀gẹ̀ bíi ìlànà Bíbélì.","Serikali kamwe isiwai kuhitilafiana na Neno la Mungu, na adhabu ya fimbo, na kunena Kibibilia ni kwa manufaa ya mtoto."
"Ó bani nínú jẹ́ wípé, díẹ̀ nínú àwọn tí ó rí gbólóhùn kúkurú náà ""Jésù ńgbàlà"" ló ní òye ìtumọ̀ rẹ̀ l'ótìtọ́ọ́ àti l'ẹ́kùnrẹ́rẹ́.","Cha kuhuzunisha, wachache waonao ujumbe “Yesu aokoa” kwa kweli wanaelewa na kujua inamaanisha nini."
Àwọn Áńgẹ́lì kéde wípé ó ti jí dìde kúrò nínú òkú gẹ́gẹ́ bí ó ṣe ṣ'èlérí (Matteu 28:5-7).,"Wakati walirudi, mwili wake haukuwa pale, malaika akasema kwamba, amefufuka kutoka kwa wafu vile alivyo aidi (Mathayo 28:5-7)."
Idahun,Jibu
"Ní àkótán, báwo ni a ṣe ńgba Ẹ̀mí Mímọ́?","Kwa malizia, twaupokeaje Roho Mtakatifu?"
"Nitorina, gege bi eyi ti a ti so, emi yio si so wipe ibalopo je ikorira si Olorun, sa fun ohun agüere, tabi se aseyori ninu idawo Olorun ki o si ni olohun lori ara re.","Siamini kujichua kunaweza kumpendeza Mungu, kwa kuwa kunaepuka mipaka ya heshima na sheria ya Mungu juu ya miili yetu."
Ìmísí-Ọlọ́run ni Bíbélì jẹ́ (2 Timoteu 3:16).,Bibilia ni neno  “Lenye pumzi ya Mungu” (2 Timotheo 3:16).
"Ona kan ni o wa- Nipa igbagbo ati ireti ninu omo Olorun, Jesu Kristi.",Kipawa hiki cha uzima wa milele kinapatikana na ni bure kwa wote lakini kinagharimu kujikana wenyewe raha Fulani za dunia na kutoa sadaka kwa Mungu.
Ma se jiyan?,"Sasa, kikusaidiacho ni nini?"
"Ṣùgbọ́n, ibi kìí ṣe ""ohun"" kan bíi òkúta tàbí iná-mọ̀nàmọ́ná.",Ingawaje uovu siyo “kitu” kama mwamba au umeme.
"Ṣùgbọ́n, ìgbà míìrán wà tí ó jẹ́ wípé ilé-ẹjọ́ ló yẹ láti lọ.","Ingawa, kuna matukio mengi ambayo koti itakuwa ya muimu kutatua tofauti kati ya Wakristo."
"Johannu 1;1 wipe, “Olorun si ni oro naa.” Johannu 1;4 wipe, “oro naa si di enia.” Eyi fi han wipe Jesu ni Olorun eleran ara.",Yohana 1:14 inasema “Neno akafanyika mwili.” Hii inaonyesha wazi ya kwamba Yesu ni Mungu katika mwili.
Gbogbo wa ti ṣẹ̀ sí Ọlọ́run (Romu 3:23).,Wote tumetenda dhambi kinyume na Mungu (Warumi 3:23).
"(Ẹksodu 21:12, 15; 22:19; Lẹfitiku 20:11) Nítorí náà Ọlọ́run kò lòdì sí ìpànìyàn nínú gbogbo ìṣẹ̀lẹ̀, àmọ́ ìpànìyàn.",Mungu aliamrisha hukumu ya kifo kwa maovu mbali mbali (Kutoka 21:12; 15; 22:19; Mambo Ya Nyakati 20:11).
Idahun,Jibu
"Nitoripe, Kaini beru emi ara re leyin ti o pa Abeli (Genesisi 4:14) eyi fi han wipe won si bi omo miran tabi omo mo Adamu ati Efa nigba naa.",Ile hali ya Kaini kuhofu sana juu ya usalama wake baada ya kumuua Habili (mwanzo 4:14) inathibitisha kulikuwako na watoto wengi wengine pia na wajukuu na hata vilembwe wa Adamu na Hawa.
