Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
Kò sí ibìkan nínú Ìwé-Mímọ́ tí ó sọ wípé pípa Ọjọ́ Ìsinmi mọ́ ti wáyé láti ìgbà Adamu sí Mose.,Hakuna maandiko katika Bibilia au dondoo lolote linaloonyesha kuwa Adamu na Musa waliitunza Sabato.
"Mọ̀ọ́ ní gbogbo ọ̀nà rẹ òun yóò si máa tọ́ ipa-ọ̀nà rẹ. ""","Ingawa badala ya kuushuku wema wa Mungu, jukumu letu liwe kumtumainia Mungu."
"Ǹjẹ́ nípasẹ rẹ̀, ẹ jẹ́ kí á máa rúbọ ìyìn sí Ọlọ́run nígbàgbogbo, èyínì ni èso ètè wa, tí ńjẹ́wọ́ orúkọ rẹ̀ (Heberu 13:15).","“Basi, kwa njia yekae yee, na tumpe Mungu dhabihu ya sifa daima, yaani, tunda la midomo iliungamaye jina lake” (Waebrania 13:15)."
"(Luku 1;34), Gébríẹ̀lì wípé, ""Ẹ̀mí Mímọ́ yíò tọ̀ ọ́ wá, àti agbára Ọ̀gá ògo yíò síji bò ọ́"" (Luku 1:35).","Kulingana na swali la Mariamu, “Litakuwaje neno hili?” (Luka 1:34), Gabrieli anasema, “Roho Mtakatifu atakujilia juu yako, na nguvu zake Aliye juu zitakufunika kama kivuli; kwa sababu hiyo hicho kitakachozaliwa kitaitwa kitakatifu, Mwana wa Mungu” (Luka 1:35)."
Bíbá Ọlọ́run sọ̀rọ̀ nípa àdúrà lè jẹ́ ọ̀nà kan láti dàgbà kúrò nínú gbígba àwọn ọ̀rọ̀ nípa Jésù sí gbígbàgbọ́ nínú Rẹ̀ l'ẹ́kùnrẹ́rẹ́ gẹ́gẹ́ bí olùgbàlà.,Kuwasiliana na Mungu kupitia kwa maombi kunaweza kuwa njia mojawapo ya kuendelea baada ya kumkubali Yesu na kuwa na imani kwake kama mwokozi wa maisha yako.
Ọlọ́run ti ṣetán àti pé ó sì ń fẹ́ láti fi ara rẹ̀ hàn ní àwọn ọ̀nà tí ó yà lárà ọ̀tọ̀ sí àwọn tí yíọ́ gbàgbọ́ nínú Rẹ̀.,"Want wie het die gedagte van die Here geken, of wie was Sy raadsman gewees?” Ons moet in God glo deur geloof en Sy weë vertrou in geloof."
Àwọn tí wọ́n ní ìwòye yìí gbàgbọ́ wípé Matteu 25:31-46 ni àpèjúwe ohun tí ó ṣẹlẹ̀ míìrán ní ìtẹ́ ìdájọ́ funfun ńlá.,Wale wanaoshikilia mtazamo huu wanaamini kuwa Mathayo 25:31-46 ni elezo lingine la yale yatakayotokea katika kiti kikuu cheupe.
D (lẹ́yìn ikú Kristi).,Kitabu cha Bibilia kilijumlishwa kwa kanoni wakati ule Mungu aliweka pumzi yake katika uandishi wa Bibilia.
"Ní ọ̀nà míràn, ọ̀kàndínláàádọ̀rin (69) ọdún lọ́ná méje (ọdún 483) lẹ́yìn àṣẹ láti tún Jerúsálẹ̀mù kọ́, ni wọn yóò ké Mesiah kúrò.",Kwa njia nyingine mwaka wa 69 katika miaka 483 baada ya agizo la kuijenge tena Yerusalemu hadi wakati Yesu alisulubiwa.
Ǹjẹ́ ó ṣe ni l'áńfààní láti mọ (àwọn) ẹ̀bùn ẹ̀mí tí Ọlọ́run fún wa?,Ni muimu kujua kipawa chako Mungu amekupa?
A kò lè ṣe ẹ̀dà irúfẹ́ ìsọ̀rọ̀-òdì báyìí lóde òní.,Kwa sababu hiyo kwa matukio haya ya kukufuru Roho Mtakatifu hauwezi kuongezeka hii leo.
"Pliny Younger náà, nínú Letters 10:96, ṣe àkọsílẹ̀ iṣẹ́ ìjọ́sìn àwọn Kristiẹni àkọ́kọ́ pẹ̀lú òtítọ́ tí ó ní nínú wípé àwọn Kristiẹni ńjọ́sìn Jésù bíi Ọlọ́run ti wọn sì ní ìwà gan, tí ó si tọ́kasí àsè ìfẹ́ àti Oúnjẹ alẹ́ Olúwa.","Pliny mudogo, kwa barua 10:96 anakili wakristo wa kwanza wakiabudu na kuongezea kuwa wakristo walimwabudu Yesu kama Mungu na walikua na heshima na walikuwa wakishiriki mesa ya bwana."
"Bí ẹnìkan kò bá ńfẹ́ láti gba wíwà ti Ọlọ́run nípa ìgbàgbọ́, nígbà náà òun l'ọ́kùnrin/l'óbìnrin ni tí kò tíì ṣetán dájúdájú láti gba Jésù Kristi gẹ́gẹ́ bíi Olùgbàlà nípa ìgbàgbọ́ (Efesu 2:8-9).","As ‘n persoon nie gewillig is om God se bestaan deur geloof te aanvaar nie, dan is hy/sy beslis nie gereed om Jesus Christus as Verlosser deur geloof (Efesiërs 2:8-9) te aanvaar nie."
"Ìyìn ní fún Ọlọ́run wípé, nípasẹ̀ Jésù, a le bọ́ lọ́wọ́ ikú ayérayé yìí (Johannu 3:16, 18, 36).","Na Mungu atukuzwe kupitia Yesu, kuwa tunaweza kuepuka haya mauti ya milele (Yohana 3:16, 18, 36)."
Àìní wa fún ìràpadà kò yípadà.,Hitaji letu la ukombozi halibadiliki.
"Gege be naa, mesan ninu ofin majemu lailai wa ni iwe majemu titnu ( gbogbo re yato si ofin ojo isinmi).","Hata hivyo, tisa katika amri kumi za Mungu zimerudiwa katika agano jipya (zote isipokuwa ile ya kuweka sabato)."
"Eyi ti iwe mimo so fun wa je pataki, biko se nipa ohun ti Bibeli wi fun wa, awon oro inu re yi o je ironu omo enia ni kan, ti o si je ainiye nipa Olorun (Jobu 42:7).",Vifungu vya kukariri vya bibilia ni muhimu maana bila mamlaka kutoka kwa biblia maneno haya yangekuwa hayana tofauti na maoni ya kawaida ya wanadamu ambayo kila mara huwa na upungufu katika kumuelewa mungu (Ayubu 42:7).
"Jesu Kristi Oluwa wipe, “Emi si fun won ni iye ainipekun: nwon ki o si segbe lailai, ko si si eniti o le ja won kuro li owo mi.","Bwana Yesu kristo alisema, “nawapa uzima wa milele, nao hawatapotea; kwa kuwa hakuna anayeweza kuwatoa mikononi mwangu."
Àbùdá mímọ́ àti pípé Rẹ̀ kò l'àbàwọ́n nípa ẹ̀ṣẹ̀.,Utakatifu wake na ukamilifu wake haukuguzwa na dhambi.
"Kristi yóò wàá lànà fún ọ̀run titun, ayé titun, àti Jèrúsálẹ́mù tuntun—ilé ayérayé fún àwọn onígbàgbọ́.","Kristo kisha ataikaribisha mbingu mpya, nchi mpya na Yerusalemu mpya-mahali pa milele pa wateule wataishi."
"Ti a ba wo aye won, ti won si je eniti won setan lati ku (iku irora) fun ti won gbagbo, o ye wa wipe awon enia yi gbagbo wipe Oluwa ba won soro.","Tukuchunguza maisha ya watu hawa na ya kwamba walikuwa tayari hata kufa kwa ajili ya uaminifu wao kwa Mungu kwa ajili ya yale waiyoyaamini; Inathibitisha kuwa, watu hawa wanyonge na waaminifu walikuwa na uhakika kwamba Mungu kweli alikuwa amezungumza nao."
"Bí Ọlọ́run bá wá jẹ́ ""nǹkan,"" Ó gbọ́dọ̀ ní orísun nígbànáà, òótọ́ ni bí?","Kwa hivyo kama Mungu ni “kitu” kwa hivyo lazima awe na aliye muumba, kweli?"
"Jíjẹ́ Kristiẹni kìí ṣe ní ìrúbọ nìkan, lílọ sí ilé-ìjọsìn, tàbí ṣíṣe àwọn ohun kan nígbàtí ò ńfi àwọn ohun míìrán sílẹ̀ láì ṣe.","Kuwa Mkristo si hali ya kuwa na tamaduni, kwenda kanisani, au kufanya mambo fulani huku ukijizuia kutoka kwa mengine."
"Nípa ṣíṣe èyí ìyàwó tí ó níwà bí ti Ọlọ́run yóò jèrè ọkọ rẹ̀ aláìgbàgbọ́ sí Olúwa ""láì sọ̀rọ"" nìpa ìhùwà mìmọ́ rẹ̀ nìkan (1 Peteru 3:1).","Hakuumbwa kutoka kwa kichwa chake ili amtawale, au kutoka kwa miguu yake ili akanyagigwe chini, lakini kutoka kwa ubafu wake ili awe kiwango kimoja naye, chini ya mabawa zake ilie akingwe, na karibu na moyo wake ili apendwe.” Wakristo wanastahili kuwa na utiifu kwa wao wenyewe kwa kumcha Kristo (Waefeso 5:21)."
"Ebun ofe ti oye ailopin wa fun gbogbo eniyan, sugbon o gba pe ki a se ara wa, ki a si fi ara wa yi fun oluwa, “eniti o ba gba omo gbo, o ni iye ainipekun; eniti ko ba si gba omo gbo, ki yio ri iye ; sugbon ibinu Olorun mbe lori re (Johannu 3:36).","Tunapokubali kwamba kifo cha Yesu msalabani ni malipo kamili ya dhambi zetu dhidi ya Mungu, tumeahidiwa si tu maisha mema duniani bali pia uzima wa milele mbele ya kristo."
"Iro ni a pa ti a ba nip e Oluwa ko fara si ese kekere, wipe orun apadi wa fun eni buburu.","Hakuna mtu, hatakama anaheshima kubwa kiasi gani, au amefanikiwa sana, au ana elimu ya juu, au anamatendo mengi matakatifu, atakayeweza kumfikia Mungu Baba bila kumpitia Yesu."
"Ti a ba wo Peteru, a ni oro Olorun pelu re ninu ogba Getsemane ki peteru to se.","Tunapomtazama tena Petro, tunaona maneno ya kristo aliyomwambia kabla hajamkana kule Gethsemane."
4) Ṣé ìwé náà ní ẹ̀rí ìwà àti ẹ̀mí tó yè kooro èyí tí yóò fi iṣọ́ Ẹ̀mí Mímọ́ hàn?,Kitabu chenyewe kilikuwa na ushuhuda wa hali ya  juu ya matunda ya  Roho Mtakatifu?
Ọ̀pọ̀lọpọ̀ ènìyàn máa ńrí ohun ìjà wọn ní àwọn ibi wọ̀nyìí; àwọn kìí rí àṣìṣe tí wọ́n ní ó wà nínú Bíbélì fúnra wọn.,Kuna vitabu na mitandao ambayo imeratibisha chini “zile kasoro ziko kwa Bibilia.” Watu wengi wanapata silaha zao (vilipuaji) kutoka sehemu hizi; hawawezi kupata kasoro yoyote wao wenyewe.
"Ise awon aposteli 20;28 so wipe, Oluwa ra ijo re pada pelu eje re.",Matendo 20:28 inasema ya kwamba Mungu alilinunua kanisa kwa damu yake mwenyewe.
"Ṣùgbọ́n, àwọn àyọkà ìwé Isaiah 53 àti ìwé Peteru Kínní ori 2 fihàn kedere wípé ìmúláradá lẹ́mí ni à ńsọ.",Ingawa katika mukhtadha wa Isaya 53 na 1 Petero 2 waifanya wazi kuwa inazungumzia juu ya uponyaji wa kiroho.
"Nínú àwọn àpẹẹrẹ wọ̀nyìí, Bíbélì ṣe àfihàn rẹ̀ wípé àwa yóò dá ara wa mọ̀ lẹ́yìn ikú.","Katika mfano huu, Bibilia haionekani kuonyesha kwamba tutambulika baada ya kifo."
"Àwa ǹgbàdúrà láti ṣe àfihàn ìgbàgbọ́ wa nínú Ọlọ́run, wípé Òun yóò ṣe gẹ́gẹ́ bí o ti ṣe ìlérí nínú ọ̀rọ̀ Rẹ̀ àti láti bùkún wa l'ọ́pọ̀lọpọ̀ ju bí a ti le béèré lọ tàbí ní ìrètì fún (Efesu 3:20).","Tunaomba ili tuonyeshe imani yetu kwa Mungu, kuwa atatenda vile ameahidi katika neno lake na kubariki maisha yetu utele zaidi ya vile tumeuliza na kutumainia (Waefeso 3:20)."
"Ti Bibeli ba je oro Olorun, ti a ko ba gbagbo, a ko gba olorun gbo naa ni yen.",Kama biblia ni neno la Mungu basi kulikataa ni kumkataa Mungu.
Ǹjẹ́ ìwọ ti ronúpìwàdà àwọn ẹ̀ṣẹ̀ rẹ?,Je unawezaje kujua hakika umeokolewa?
"Dáfídì dá ẹ̀ṣẹ̀ panságà àti ìpànìyàn, síbẹ̀ Ọlọ́run kò bèrè wípé kí á mú ẹ̀mí rẹ̀ kúrò (2 Samuẹli 11:1-5, 14-17; 2 Samuẹli 12:13).","Daudi alifanya uzinzi, bali Mungu akutaka maisha yake yachukuliwe (2 Samueli 11:1-5, 14-17; 2 Samueli 12:13)."
Gbigba adura elese je gege bi ona ti a n gba lati so wipe o fi gbogbo igbesi aye re le Jesu Kristi lowo gege bi olugbala.,Kusema Ombi hili la mwenye dhambi ni njia ya rahisi ya kumwelezea Mungu yakuwa unamtegemea Yesu Kristo kama mwokozi wako.
Ìgbàgbọ́ nínú Kristi ni kọ́kọ́rọ́ sí lílọ sí ọ̀run.,Sommige sal argumenteer dat dit uiters bekrompe van God is om slegs een pad na die hemel te voorsien.
Iṣẹ́ míìrán tí a fún ìjọ ni láti polongo ìhìnrere ìgbàlà nípasẹ̀ Jésù Kristi (Matteu 28:18-20; Iṣe àwọn Apọsteli 1:8).,Jukumu liningine kanisa imepewa ni ile kuitangaza injili ya wokovu kupitia Yesu Kristo (Mathayo 28:16-20; Matendo Ya Mitume 1:8) kanisa limeitwa kuwa aminifu katika kushiriki injili katika usemi na katika matendo.
Ó jẹ́ ètò kan lára Ìjọ́sìn Onígbàgbọ́.,Ni sehemu maalumu kwa kila Mkristo katika kuabudu.
"Èmi ó bùkún àwọn tí ńṣúre fún ọ, ẹnití ń fi ọ́ ré, ni èmi ó sì fi ré; nínú rẹ ni a ó sì ti bùkún fún gbogbo ìdílé ayé.""","In jou sal al die volke van die aarde geseën wees""."
Nitori pe Oluwa da wa lati le ri ohun isin yi.,Hapo atarudisha ushirika na wanadamu waliokombolewa.
"Ṣùgbọ́n nísisìnyí, nígbàtí ẹ̀yin ti mọ Ọlọ́run tán, tàbí kí á sà kúkú wípé, ẹ di mímọ́ fún Ọlọ́run, èéha ti ri tí ẹ fi tún yípadà sí aláìlera àti àlàgbé ìpilẹ̀sẹ̀ ẹ̀dá?","Mnashika siku, na miezi, na nyaktati, na miaka” (Wagalatia 4:9-10)."
"Jésù pe ara Rẹ̀ ní ""ọ̀nà, òtitọ́ àti ìyè"" (Johannu 14:6), nípa ṣíṣe bẹ́ẹ̀, ó di ìwò wa nípa ayé.","Yesu alijitangaza Yeye mwenyewe kuwa “ndimi njia na ukweli, na uzima” (Yohana 14:6) na kwa kufanya hivyo ukawa mtazamo wetu."
Ní pàtàkì eré-àkọ́ṣe ṣáájú ìbálòpọ̀ ní a gbékalẹ̀ láti gbaradì fún ìbálòpọ̀.,"Kwa nafsi, tumeumbwa tunafanya mazoezi  kwa kujitayarisha kufanya ngono."
"Nítorínáà, àwọn ẹ̀bùn ìsọtẹ́lẹ̀, ìmọ̀, ọgbọ́n, àti bẹ́ẹ̀bẹ́ẹ̀ lọ wúlò fún àwọn Kristiẹni àkọ́kọ́ láti lè jẹ́ kí wọn mọ ohun tí Ọlọ́run fẹ́ kí wọn ṣe.","Kwa hivyo, vipawa vya unabii, maarifa, hekima na kadhalika vilikuwa vya muimu kwa sababu ya Wakristo wa kwanza wajue chenye Mungu anawahitaji wafanye."
"Ní sísọ̀rọ̀ nípa Isrẹli, Deutarọnọmi 7:7-9 sọ fún wa wípé, ""OLÚWA kò fi ìfẹ́ rẹ̀ sí yin lara, bẹ́ẹ̀ni kò yàn yin, nitori ẹ̀yin pọ̀ ni iye ju àwọn ènìyàn kan lọ; nítorípé ẹ̀yin li o tilẹ̀ kéré jù nínú gbogbo ènìyàn.","Kuzungumzia taifa la Isreali, Kumbumbuku La Torati 7:7-9 yatuambia, “BWANA hakuwapenda ninyi, wala hakuwachagua ninyi, kwa sabau mlikuwa wengi kuliko mataifa yote, maana mlikuwa wachache kuliko watu wote; bali kwa sababu BWANA anawapenda, na kwa sababu alitaka kuutimiza uapo wake aliowaapia baba zenu, ndiyo sababu BWANA akawaatoa kwa mkono wa nguvu, akawakomboa katika nyumba ya utumwa, katika mkono wa Farao, mfalme wa Misri."
Tani yóò wọ ìjọba Ọlọ́run gan an?,Die vraag is steeds: wie sal werklik God se koninkryk binnegaan?
"Nígbàtí a kẹ́kọ̀ọ́ àwọn Májẹ̀mú náà fínnífínní, o hàn wípé Ọlọ́run ""kìí yípadà bíi òjìjì"" (Jakọbu 1:17).","Wakati tunachunguza Agano Jipya kwa makini, ni wazi kwamba Mungu “Kwake hakuna kubadilika, wala kivuli cha kugeuka-geuka” (Yakobo 1:17)."
Se gege bi  iwa lati mo ohun ti o ka tio si ye o. mo si ma n so fun Olorun ninu adura wipe ki o ran mi lowo nipa ibi aise dada mi.,Nina kushauri uwe na kumbukumbu ya yale uliyoyasoma kwa kuyanakili kwenye daftari lako au kwenye kompyuta.
Kọ́ ẹ̀kọ́ ọ̀rọ̀ ìwé Mímọ́ pẹ̀lú àdúrà kí ó sì wòó bí ọ̀nà àbáyọ tí ó rọrùn bá wà.,1) Kwa kuomba na kusali isome Bibilia na uone kama kuna suluhisho lolote.
"Àyààfi bí Ọlọ́run bá yàn láti fi ara Rẹ̀ hàn, Òun jẹ̀ ẹni tí a kò lè rí pẹ̀lú àwọn ẹ̀ya ara wa (Romu 1:20).","Tensy God verkies om Homself openbaar te maak, is Hy onsigbaar vir ons sintuie (Romeine 1:20)."
Ìfẹ́ kìí bèèrè fún ìgbọ́ràn.,Upendo husemehe.
"Ìwé Ifihan, tí ó sọ ní pàtó nípa àwọn àkókò ìpọ́njú náà jẹ́ ìwàásù àṣọtẹ́lẹ̀ bí Ọlọ́run yóò ṣe tú ìbínú rẹ̀ jáde sí ayé ní àkókò ìpọ́njú náà.","Aya zingine baadaye katika 1 Wathesalonike 5:9, Paulo anasema, “Kwa kuwa Mungu hakutuweka kwa hasira yake, bali tupate wokovu, kwa Bwana wetu Yesu Kristo .“ kitabu cha Ufunuo Wa Yohana ambacho kwa undani kinasungumzia kipindi cha matezo, pia ni ujumbe wa kinabii jinsi Mungu ataimwaga ghadhabu yake ulimwenguni wakati wa matezo."
"Àti ẹ̀yin Bàbá, ẹ má ṣe mú àwọn ọmọ yín bínú: ṣùgbọ́n ẹ máa tọ́ wọn nínú ẹ̀kọ́ àti ìkìlọ̀ Olúwa.","“Nanyi akina baba, msiwachokoze watoto wenu; bali waleeni katika adabu na maonyo ya Bwan.” Sehemu ya ukanusho wa aya hii yaonyesha kwamba baba mzazi hastahili kuweka maagizo maovu ndani ya watoto wao kwa, kuwakataa, bila haki, ubaguzi au mamlaka yasiyostahili."
Sugbon a o ri ise to dara ati ohun ewa ni igberi ko aye yi.,Hata hivyo ninaona miundo mingi ya vitu tofauti tofauti katika mazingira yetu.
"Nitoripe- “ a koko da Adamu, leyin naa Efa.","Kwa sababu,- “kwa kuwa Adamu ndiye aliyeumbwa kwanza na Hawa baadaye."
Gbàdúrà fún ọgbọ́n nípa ọ̀nà tí ó dárá jùlọ láti ṣe iṣẹ́ ìránṣẹ́ fún wọn (Jakọbu 1:5).,Bid vir kennis hoe jy te werk moet gaan om die boodskap aan hulle te bring (Jacobus 1:5).
"Àwa gbọ́dọ̀ jọ̀wọ́ ara wa fún Ẹ̀mí Mímọ́ tó bẹ́ẹ̀ gẹ́ fún Òun láti gbé wa wọ̀, ní òye yìí, kún wa.",Kikamilifu ni lazima tuzame katika Roho Mtakatifu ili atumiliki na katika hali hiyo atujaze.
O se ni ni ironu lati mo wipe ikosile ni arin onigbagbo po bi awon alaigbagbo ni ile aye.,Wakati mwingine watu huoa mapema baada ya talaka hata kama Munhu baado anawataka wakae bila ndoa.
Oluwa fe ki o mo!,Mungu anataka uwe na uhakika!
"Oluwa ko ni idunu si iku enia buburu, sugbon ki enia buburu yi pada kuro ninu ona re ki o si ye (Esekieli 33;11).","Mungu hafurahishwi na kufa kwa mtu muovu, lakini hutaka wazighairi njia zao mbaya ili waishi (Ezekiel 33:11)."
"Àkọ́kọ́, ó ṣe pàtàkì láti mọ èrèdí ìpọ́njú náà.",Kwanza ni muimu kutambua lengo la matezo.
A da wa ki awa le ni ibase po pelu oluwa.,"Njaa unayoihisi ni njaa ya kiroho, na inaweza kutoshelezwa na Yesu."
"Ti a ba si wo bi ise Olorun se le gboro to ti a ko ba lo si ile eko, ki a si le baa won enia soro ni ede won.",Fikiria kungekuwa na wamishonari wangapi wazuri kama hawangehitajika kusomea lugha za watu bali wangekuwa na kipwa hiki!
"Irubomi Kristiani, gege bi Bibeli, eyi je ohun eri isiha ti o sele ninu aye Olugbagbo.","Ubatizo wa kikristo, kulengana na Biblia, ni ushahidi wa nje wa yale yaliyotendeka ndani ya maisha ya mwenye kuamini."
A le lo Matteu 19:9.,Hapo ndipo Mathayo 19:9 hutumika.
Ọ̀kan nínú ìwọ̀nyí ni ìtara ènìyàn láti dẹ́ṣẹ̀ (Luku 12:26).,Mojawapo ya hizi ni nia ya mwanadamu kutenda dhambi (Luka 12:26).
Ṣé ó ní ìdáríjìn?,Kwa msamaha?
"Nípasẹ̀ èyí, ọmọ Ọlọ́run kò ní nǹkankan láti sògo; ìsògo rẹ̀ wà nínú Ọlọ́run nìkan (Efesu 2:8-9).","“Watoto wadogo, mtu na asiwadanganye; atendaye haki yuna haki, kama yeye alivyo na haki; atendaye dhambi ni wa Ibilisi; kwa kuwa Ibilisi hutenda dhambi tangu mwanzo."
"Wíwà àtí ìdàgbà ẹ̀mí l'órílẹ̀ ayé nílò kí àwọn nǹkan kan wà ní ipò pípé, wípé kò ṣeé ṣe fún àwọn nǹkan yìí kó wà nípa àwọn ìṣẹ̀lẹ̀ tí kò létò, tí wọn kò fètò sí.","Kuwepo kwa mchipuko wa maisha katika ardhi wahitaji vitu vingi totafuti ili uwe kamilifu kwa kiwango kwamba itakuwa vigumu mno geugeu kuwepo kupitia namna ghafula, na matukio yasiyo ongozwa."
"Nígbàmíì àwa lérò wípé àwa ní òye ìdí tí Ọlọ́run fi ńṣe ohun kan, kí a tó wá mọ̀ nígbà ó ṣe wípé ó wà fún ète míìrán ju ohun tí àwa lérò tẹ́lẹ̀.","Wakati mwingine twafikiri tunaelewa ni kwa nini Mungu anatenda jambo Fulani, kisha baadaye twagundua kwamba ilikuwa kwa dhumni tofauti mbali na lile tulilofikiri mbeleni."
"Peteru ko so fun wa naa ohun ti o so fun awon angeli yi, sugbon ki se oro igbala nitoripe angeli ni won (Heberu 2:16).",Haiwezi kueleweka ya kuwa alikuwa ameenda kuwapa watu nafasi ya pili ya kuokolewa kwa kuwa biblia inatuambia ya kuwa tunakutana na hukumu punde tu baada ya kufa(waebrania 9:27).
"Bíbélì kò sọ ní pàtó pé àwọn ènìyàn tó wà l'ọ́run kò lè wò wá, fún ìdí èyí a kò jẹ́ gbàá bẹ́ẹ̀.","Pia ikiwa uwezekano kuwa Mungu huko mbinguni anawaruhusu kuwalinda waenzi wao, Bibilia haitupi sababu yoyote ya kuonyesha kuwa kweli haya yalitokea."
"Ebo Olorun ni irobinuje okan: irobinuje ati irota aiya, Olorun, on ni iwo ki yio gan” (Orin Dafidi 51:12, 15-17).","“ Kwa hivyo, mtu akiwa ndani ya kristo, amekuwa kiumbe kipya; ya kale yamepita tazama yamekuwa mapya” (Wakorintho wa pili 5:17)."
"Ó sọ fún wa wípé ""Ẹnikẹ́ni tí ó bá gbàgbọ́ nínú Ọmọ ní ìyè àìnípẹkun, ṣùgbọ́n ẹnikẹ́ni tí ó bá kọ Ọmọ náà kì yíì ò rí ìyè, nítorí ìbínú Ọlọ́run ńbẹ lórí ẹni bẹ́ẹ̀"" (Johannu 3:36).","“Hy wat in Hom glo, word nie veroordeel nie; maar hy wat nie glo nie, is alreeds veroordeel omdat hy nie geglo het in die Naam van die eniggebore Seun van God nie” (Johannes 3:18)."
"Aposteli Paulu ni Efesu 2;1 so wipe, enyin li o si ti so di aye nigbati enyin ti ku nitori irekoja ati ese n yin…….” Fun awon ara Romu ni Romu 3; 23, awon aposteli ko wipe, gbogbo enia li o sa ti se, tin won si kuna ogo Olorun.","Kwa Warumi, aliwaandikia katika Warumi 3:23 akisema..., ”kwa sababu wote wamefanya dhambi, na kupungukiwa na utukufu wa Mungu” (TMP)."
Irú òtítọ́ ológo wo ni àjíǹde Kristi jẹ́!,Ni utukufu wa aina gani ulio katika ufufuo wa Kristo!
"Bí ìdí kan tí a dámọ̀ báwà fún àwọn ìṣẹ̀lẹ̀ tí a lérò wọ̀nyìí, ó lè jẹ́ ti ẹ̀mí, àti ní pàtó, ó lè jẹ́ ti ẹ̀mí àìmọ́, ní ti orísun.","Kama kunayo mwelekeo ambao ni wa kutambulika kwa tukio hili la kudhaniwa, basi kuna uwezekano kuwa utakuwa ni ule wa kiroho, na hasa wa kishetani kiasili."
Yoruba,Swahili
Ètò Ọlọ́run ni láti fi Ọmọ pípé Rẹ̀ rúbọ lórí igi àgbélèbú láti san gbèsè ẹ̀ṣẹ̀ wa: ikú.,Mpango wa Mungu ulikuwa kusulubisha mwanawe mkamilifu msalabani kulipa adhabu tuliyohistahili kwa ajili ya dhambi zetu: kifo.
"Iwe awon onitumo ti Webster so nipa kristiani “Enia ti o gbagbo ninu Jesu gege bi Kristi tabi nipa esin kiko Jesu.” Gege bi eyi se je igbese rere lati ni oye nipa kristiani, gege bi awon elomi ran si ti tumo re, o je ge bi ohun ti ko so idi naa dada nipa nipa otito bibeli lati le mo itumo kristiani.",Ilitumika kiasili na watu wasiookoka wa Antiokia kama jina la kimajazi kuwadhihaki wakristo hao.
"Bí àyè fún iyèméjì bá wà wípé bóyá inú Ọlọ́run dùn sii, ohun tí ó dára jù ni kí á gba kámú.","Jaribio zuri ni lile linaloamua ikiwa tunaweza kwa kweli, kwa fikira safi, kumuuliza Mungu atubariki na kutumia kazi hiyo kwa lengo lake zuri."
Àwọn tí ó nìgbàgbọ́ ní ìdánilójú láti dé ibẹ̀.,"Ons boodskap aan die verlorenes sal met groter dringenheid verkondig word as ons kan begryp wat die heiligheid en geregtigheid van God kan doen aan aan die wat die volledige gawe van vergifnis wat in Sy Seun Jesus Christus is, verwerp het."
Ẹsẹ̀ Bíbélì yìí ṣe àlàyé kedere bí a ti le jẹ́ ọmọ Ọlọ́run.,Ufahamu huu wazi waeleza jinzi ya kufanyika mwana wa Mungu.
"Ṣùgbọ́n nísisìnyí Jésù ti jíǹde kúrò nínú òkú, àkọ́bí nínú àwọn tó sùn (1 Kọrinti 15:20).","“Lakini sasa Kristo amefufuka katika wafu, limbuko lao waliolala” (1Wakorintho 15:20)."
Ko si esin miran ti o fihan nipa irapada ese wa bi Jesu Kristi ti se funwa.,"Je, umefanya uamuzi kwa Kristo kwa kile ulicho soma hapa?"
"Ọ̀pọ̀lọpọ̀ òbí kò fi pàṣán na ọmọ nítorí wọ́n bẹ̀rù wípé wọ́n lè fi ẹjọ́ wọn sun ìjọba, wọn kò sì lè fi ara wọn sínú ewu gbígba ọmọ wọn kúrò lọ́wọ́ wọn.",Wazazi wengi hawapigi watoto wao kwa mkono kwa kuogopa kuripotiwa kwa serikali kutahatarisha watoto wao kuchukuliwa na serikali.
Ikú Jésù dá àwọn tí ó gbà Á sílẹ̀ lọ́wọ́ ìjìyà àti agbára ẹ̀ṣẹ̀.,Kifo cha Yesu kinawaweka huru wale wote wanaompokea kutoka kwa nguvu ya dhambi.
Jésù ni ọmọ Ọlọ́run ní ti wípé Màríà l'óyún Rẹ̀ nípa Ẹ̀mí Mímọ́.,Yesu ni Mungu katika hali kwamba ni Mungu anajithirihisha kama mwili.
jẹ́ ọ̀kan lára àwọn ìbéèrè ti o ṣòro jùlọ nínú gbogbo ẹ̀kọ̀ ìmọ̀ Ọlọ́run.,Hili ni mojawapo la maswali magumu katika uchanganusi wa bibilia.
"Iwe mimo Bibeli ti o tun aye eniyan se, oro gidi re, ati iyanu re ti o fi kiko re han to lati le je ki a mo nipa re.","Hali yake ya kubadilisha maisha ya mwanadamu, heshima na miujiza iliyoandamana na kuandikwa kwake kunatosha kuvutia mtu ayaangalie maandiko kwa makini."
Ààwẹ̀ gbígbá ńràn wá lọ́wọ́ láti ní ìwò titun àti ìgbẹ́kẹ̀lẹ́ ọ̀tun lóri Ọlọ́run.,Kufunga kunatuzaidia kupata mtazamo na kufanya upya tegemeo letu kwa Mungu.
