ha,yo
"Dubawa sosai a aya ta 4 da ke sama zai bayyana cewa babu wajibin mai bin Sabon Alkawari ya kiyaye Asabar, kuma zai nuna cewa ra'ayin ranar Lahadi ""Asabar ɗin Kirista"" shima bai dace da Nassi ba.","Wíwo kókó 4 lókè dáradára ó fihàn wípé kìí ṣe ọ̀rànọyàn fún àwọn ọmọ Isreli láti pa Ọjọ́ Ìsinmi mọ́, èyí yóò sì fihàn wípé èrò ọjọ́ Àìkú "" Ọjọ́ Ìsinmi Kristiẹni"" kò bà Ìwé Mímọ́ mu."
"Hukuncin da ya sha ya ƴantar da mu, dukan da aka yi tayi masa, yasa muka warke” (Ishaya 53:5).","Jesu Kristi, Olorun eleran ara, wa si ile aye lati wa fun wa ni ebun iye ainipekun."
Amsa,Idahun
"A ƙarshe, ba za a iya tabbatar da shekarun tarihin duniya ba.","Ní ìgbẹ̀hìn, a kò lè fi ìdí sísẹ̀ntẹ̀lé ọjọ́ orí ayé múlẹ̀."
Amsa,Idahun
"Idan kana da sha’awar amince da Yesu Kiristi a matsayin mai ceton ka, ka faɗi waɗannan kalmomi cikin zuciyar ka ga Allah.","Ti iwo ba ni ireti ninu Jesu Kristi gege bi olugbala re, so oro won yi ninu okan re si Olorun."
"Yesu ya ce, ""Ni ne hanya, ni ne gaskiya, ni ne kuma rai.","Jésù sọ wípé, ""Èmi ni ọnà òtítọ àti ìyè náà."
"Lokacin da mutum na farko yayi zunubi (Farawa 3), sakamakon shine matsaloli iri daban-daban, haɗe da cuta da mutuwa.","Ní àtètèkọ́ṣe, a dá ènìyàn láìlẹ́ṣẹ̀, ohun gbogbo ní ayé sì wà ""dáradára"" (Jẹnẹsisi 1:31) Nígbàtí ọkùnrin àkọ́kọ́ dẹ́ṣẹ̀ (Jẹnẹsisi 3), àyọrísí rẹ̀ jẹ́ oríṣiríṣi ìṣòro bíi àìsàn àti ikú."
"Koyaya, an faɗi cewa waɗanda Ubangiji ya albarkace su don iyaye mata ya kamata su ɗauki alhakin da muhimmanci.","Ṣùgbọ́n, ó sọ wípé àwọn tí Olúwa bá bùkún láti di ìyá gbọ́dọ̀ ṣe ojúṣe wọn gidigidi."
"Manzo Bulus ya ƙalubalanci mutane da tambayar ingancin shaidun ido, kuma babu wanda ya iya ya hauri gaskiyarta.","Ajinde naa je ohun pataki fun igbagbo kristiani; Nitori Kristi jinde lati inu oku, a le ni igbagbo wipe awa naa le jinde."
"A cikin Tsohon Alkawari, Allah ya raba ɗan adam zuwa ƙungiyoyi biyu ""launin fata"": Yahudawa da Al'ummai.","Nínú Májẹ̀mú Láíláí, Ọlọ́run pín ènìyàn sí ""ẹ̀yà"" méjì: àwọn Júù àti Kèfèrí."
Shaida mai ƙarfafa tashin Yesu daga matattu mai nauyi ne.,"Ki se ona, ki se eni ona pupo, sugbon Jesu naa ni ona."
Shiryawa kai ga aure a bisa ƙa'ida kamar yadda yake a shirye yake don kowane irin aiki na rayuwa.,Pípèsè ara ẹni fún ìgbeyàwó ní ìlàna bíbélì jẹ́ nǹkàn kan náà pẹ̀lú mímúrasílẹ fún èyíkéyì ìgbìyànjú ayé.
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Mutane da yawa suna ganin wannan kamar yadda Littafi Mai Tsarki ya yarda da kowane irin bautar.,Àwọn míìrán rí bíi wípé Bíbélì fi ààyè gba níní ẹrú lónà yóòwù tí ó jẹ́.
Littafi Mai Tsarki bai bayyana takamaiman ko wani ya kamata ya shiga soja ba.,Bíbélì kò sọ ní pàtó wípé kí ènìyàn ṣe iṣẹ́ ológun tàbí kí ó má ṣeé.
Ta yiwu Allah ya albarkaci wannan layin tare da tsawon rai musamman saboda ibadarsu da biyayyarsu.,Ó ṣé e ṣe wípé Ọlọ́run bùkún ìran yìí lọ́tọ̀ pẹ̀lú ẹ̀mì gígùn nítorí ìwà mímọ́ àti ìgbọràn wọn.
"Duk da haka, a wasu misalai, abokin aure kan ƙi tuba da ci gaba cikin fasiƙanci.",Awon kan si wa ninu igbeyawo naa ti won ko si ni jawo ninu ese naa.
(1 Tẹssalonika 4:16-17).,And so we will be with the Lord forever” (1 Thessalonians 4:16–17).
"Duk da yake yana yiwuwa, babu wani bayyanannen tushe cikin littafi mai tsarki don wannan ra'ayi.","Bí ó tilẹ́ ṣeé ṣe, kò sí ìdí l'ẹ́kúnrẹ́rẹ́ nípa àfojúsùn yìí nínú Bíbélì."
"Waɗannan kam, isharori ne kawai na abin da zai auku, amma Almasihu shi ne ainihinsu” (Kolosiyawa 2:16-17).",(Kolosse 2:16-17).
"Zamu iya shelar koyaswar daidai, ci nasara kan yaƙin kalmomi, kuma har yanzu muna hana lamarin ta hanyar halin ɗabi'ar fifiko.","Àwa lè kéde ẹ̀kọ́ náà lọ́nà tí ó tọ̀nà, borí ogun ti ọ̀rọ̀, àti síbẹ̀ ṣe okùnfà ìdíwọ́ nípa ìhùwàsí tí ìbínú tí ó ga jùlọ."
"Tambayar ita ce, ta wace hanya su “shaidu” ne?","Ìbéèrè náà ni, ọ̀nà wo ni wọ́n ṣe jẹ́ ""ẹlẹ́rí""?"
An tabbatar da cewa masu ilimin sihiri zasu iya samun adadi mai yawa akan wani ta hanyoyin da suka dace.,A ti fi ìdí rẹ̀ múlẹ̀ wípé àwọn aríran lè gba ọ̀pọ̀ àlàyé lórí ẹnìkan nípasẹ̀ ọ́nà lásán.
"Watau, Yesu Kiristi da aikinsa na fansa suna da matukar muhimmanci; yi hattara da duk wanda ya musanta cewa Yesu daidai yake da Allah, wanda ya raina mutuwar hadayar Yesu, ko kuma wanda ya ƙi Yesu ɗan adam.Yahaya ta farko 2:22 ta ce, Wanene maƙaryaci?","Nínú Johannu kejì ẹsẹ̀ 9, a kà, ""Olúkùlùkù ẹni tí ó bá ń rú òfin tí kò sí dúró nínú ẹ̀kọ́ Krístì, kò gba Ọlọ́run; ẹni tí ó bá dúró nínú ẹ̀kọ́, òun ni ó gba àti Baba àti Ọmọ."""
Amsa,Idahun
"Ba yanzu ba, ba har abada ba.","Nísìsiyí kọ́, ní ayérayé kọ́."
"Samfura da Daidaici - rayuwa abin da ka fada, zama abin koyi da yaro zai iya koya daga gare shi ta hanyar ""kama"" asalin rayuwar ibada (Kubawar Shari'a 4:9,15, 23; Misalai 10:9; 11:3; Zabura 37:18, 37).","Àwòkọ́ṣe pẹ̀lù Ìwà pípé – gbígbé nípa ohun tí à sọ, jíjẹ́ àwòkọ́ṣe tí ọmọ lè kọ́ nípa ""gbígbá mú"" èrèdí ìgbé-ayé ìwà bí Ọlọ́run (Deutarọnọmi 4:9, 15, 23; Òwe 10:9; 11:3; Orin Dafidi 37:18, 37)."
Yiwuwa.,Bẹ́ẹ̀ni!
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
"Abin sani kawai a cikin Tsohon Alkawari, bayyanuwar ƙaunarka ta Allah, da aiko Dansa Yesu Almasihu, an bayyana shi a cikin duka ɗaukakarsa a cikin Sabon Alkawari.","Èyí tí a kò fi ìran rẹ̀ hàn ní Májẹ̀mú Láíláí, gbèdéke ìfarahàn ìfẹ́ Ọlọ́run, fífi Ọmọ Rẹ̀ Jésù Kristi ráńṣẹ́, ní a fihàn ní gbogbo ògo Rẹ̀ ní Májẹ̀mú Titun."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Akwai bambanci mai mahimmanci tsakanin matsayin biyu.,Ìyàtọ̀ kan tí ó ṣe pàtàkì wà láàrin ipó méjéèjì.
na Isra'ila (Ezekiyel sura 37).,"Ọlọ́run búra fún Ábráhámù wípé àtọmọdọ́mọ rẹ̀ yóò jogún Kénáánì gẹ́gẹ́ bíi ""ìni rẹ̀ títí ayérayé"" (Jẹnẹsisi 17:8), Esikiẹli sọtẹ́lẹ̀ wípé Isrẹli yóò sọjí ní ẹ̀mí àti lára (Esikiẹli orí 37)."
"Yakubu baya faɗi cewa baratswa ta bangaskiya ne haɗe da ayyuka ba, amma kuma cewa mutumin da da gaske ne an baratas ta bangaskiya zai sami kywawan ayyuka a rayuwarsa.","Jakobu o so wipe ore-ofe nipa igbagbo pelu ise, sugbon eni ti o ba ni ore-ofe, nipa igbagbo ni lati ni ise owo rere."
English,English
"Ko da yake bai kamata mutum ya kashe kansa ba, ayar Littafi Mai Tsarki 1Korantiyawa 3:15 yana yiwuwa bayyani mai kyau ne ga abin da yakan faru da Kirista da ya kashe kansa:” Ko da yake shi kansa zai cetu, amma kamar ya bi ta wuta ne.”","O ni lati na opa re si o, ki o si fun o ni iye ainipekun, eyi ko so wipe inu re dun si o. Sugbon won ko fi han, Bibeli so ninu 1 Korinti 3: 15 fihan nipa ohun ti o sele si Kristiani ti o ba pa ara re: “ Eni na yio si ni igbala, sugbon yio dabi eni ti o salo kuro ninu ewu alo ina.”"
"Kuma 4) a maimakon bayar da shawarar yin biyayya ga ranar Asabar, ragowar Sabon Alkawari yana nuna akasin haka (gami da ɗayan keɓe zuwa aya 3, a sama, da ke cikin Kolosiyawa 2:16).","Àti 4) dípò àbá láti dìrọ̀mọ́ Ọjọ́ Ìsinmi, ìráńtí Májẹ̀mú Titun túmọ̀ sí ìdàkejì (àyààfi èyí tí ó pẹ̀lú kókó 3, l'ókè, tí ó wà nínú Kolosse 2:16)."
"Tare da waɗannan ceptsa'idodi a zuciya, zamu iya duban wurare da yawa na Nassi waɗanda ke samar da hangen nesa na shekara.","Pẹ̀lú, àwọn ìlànà wọ̀nyìí l'ọ́kàn, àwa lè wo oríṣiríṣi àyọkà nínú Ìwé Mímọ́ tí ó fi ìwò àkókò ẹgbẹ̀rún ọdún hàn."
"dukan kome banza ne.” Wannan marubuci yana da wadata fiye da kima, hikima a gaban wani mutum na zamanin sa ko tamu, ɗarurrukan mata, fadodi da kuma lambuna da suka zama abin kyashin mulkoki, abin ci da giya mafi kyau, kuma yana da kome na siffar nishaɗi samamme.","Eyi je gege bi ise ayeyori, ola, ebi gidi, ibasepo, ohun irorun ki a si ma se daradara si enikeni, etc."
"Ubanku kuma da yake ganin abin da ake yi a asirce, zai sāka maka.”","Lootọ ni mo wi fun yin, wọn ti gba èrè wọn na."
Wannan yana nufin wahayi ya fadada har zuwa kalmomin kansu (na magana) - ba kawai ra'ayoyi ko ra'ayoyi ba- kuma cewa wahayi ya game dukkan sassan Littattafai da duk abubuwan da suka shafi Littattafai.,Ìyẹn ni wípé ìmísí náà gùn dé bi àwọn Ọ̀rọ̀ náà fúnra wọn (ìfẹnusọ)— tí kìí ṣe àba tàbi èrò—àti wípé ìmísí náà gùn dé gbogbo ẹ̀ka Ìwé Mímọ́ àti gbogbo kókó Ọ̀rọ̀ Ìwé Mímọ́ (Àpérò).
Dalili na biyu shine littafi mai tsarki.,Ìdí kejì bá Bíbélì mu.
"A cikin yin haka, mace mai ibada na iya jawo ma mijinta mara imani ga Ubangiji “ba tare da magana” kawai ta ɗabi'unta mai tsarki (1 Bitrus 3:1).","Ṣùgbọ́n kò níí fi ṣe ìfẹ́ ti ọkọ ní tàbí tí kò ní, a tí paá l'áṣẹ wípé kí ìyàwó kí ó tẹríba ""gẹ́gẹ́ bí í fún Olúwa"" (ẹsẹ 22)."
"Sa’anda Allah ya halicce duniya, ta zama kammalalle.","Iro ni a pa ti a ba nip e Oluwa ko fara si ese kekere, wipe orun apadi wa fun eni buburu."
Masana taurari koyaushe suna samun sabbin duniyoyi a cikin tsarin hasken rana mai nisa.,Àwọn awòràwọ̀ kò sinmi láti máa wá pílánẹ́tìì titun síi nínú ètò sólà tí ó jìnà.
"Romawa 4:25 na cewa,”Wanda aka bayar a kashe saboda laifofinmu, aka kuma tashe shi domin mu sami kuɓuta ga Allah”","“Sugbon a sa li o gbe nitori ire koja wa, a pa li ara nitori aisedede wa; ina alafia wa wa lara re, ati nipa ina re li afi mu lara da” (Isaiah 53;5)."
Masu yawan bayyana ra'ayi galibi suna nuni zuwa wani sashi a Jawabin Yesu game da Zaitun don ƙarfafa maganganunsu.,Àwọn ẹni ti ó gbàgbọ́ wípé a ti mú àwọn àkọsílẹ̀ nípa òpin ayé ṣẹ máa n ńsábà tọ́kasí ẹsẹ̀ kan nínú tí Àkọsílẹ Olivet ti Jésù láti fí àríyànjiyàn wọn múlẹ̀.
"Duk da cewa babu makawa Littafi Mai Tsarki yana kwadaitar da horo na zahiri, amma Littafi Mai-Tsarki ya fi damuwa da maƙasudin haɓaka halaye na ibada fiye da yadda yake a madaidaiciyar hanyar da aka bi don samar da wannan burin.","Nígbàtí Bíbélì gba níyànjú ìbáwí nípa nínà dájúdájú, Bíbélì ní íṣe pẹ̀lú èrèdí láti kọ́ ìwà bí Ọlọ́run ju ọ̀nà tí a lò ní pàtó láti mú èrèdí yìí ṣẹ lọ."
"Sauran Kiristocin sun gaskata cewa duka waɗannan hukunce-hukuncen suna magana ne game da hukuncin ƙarshe ɗaya, ba na hukunce-hukunce uku daban ba.","Àwọn onígbàgbọ́ míìrán gbàgbọ́ wípé gbogbo ìdájọ́ mẹ́tẹ̀ẹ̀ta wọ̀nyìí ńsọ nípa ìdájọ́ ìkẹyìn kannáà, kìí sì ṣe nípa ìdájọ́ mẹ́ta ọ̀tọ̀ọ̀tọ̀."
"Bugu da ari, marubutan Littafi Mai-Tsarki da yawa sun yarda da tarihin ambaliyar duniya (Ishaya 54:9; 1 Bitrus 3:20; 2 Bitrus 2:5; Ibraniyawa 11:7).","Ní ìparí, Jésù Kristi Olúwa gba ìtàn nípa ìkún omi àgbáyè gbọ́, tí ó sì fi wé iru ìparun tí ó ńbọ̀ wá sí ayé ní ìpadàbọ̀ Rẹ̀ (Matteu 24:37-39; Luku 17:26-27)."
Caca tabbatacce ta zura ido ne kan ƙaunar kuɗi kuma babu shakka na jarabar mutane da alƙawarin sauri da arzikin sauƙi.,Tete-tita je nipa ife owo o si ma n wo awon enia loju lati tete ni owo kiakia.
Matsayin soja yana da daraja sosai.,Iṣẹ́ jagunjagun ní iyì púpọ̀.
"Wani lokaci mukan nemi wani abu wanda ba nufin Allah gare mu ba, sai ya ce ""a'a.""",Àdúrà kìí ṣe fífi àwọn ìbéèrè wa sílẹ̀ níwájú Ọlọ́run; ó túmọ̀ sí kí Òun fi ìfẹ́ Rẹ̀ sínú ọkàn wa.
"Akwai hujjoji na farko guda uku a cikin Ka'idar Zane Mai Hankali: 1) rikitarwa mai wuyar warwarewa, 2) ƙayyadaddun rikitarwa, da kuma 3) ka'idar yanayin ɗan adam.","Àríyànjiyàn mẹ́ta tí ó ṣe pàtàkì ló wà lórí Àbá Iṣẹ́ àkànṣe Tí ó mọ́pọlọ dání: 1) àkójọpọ̀ tí kò ṣeé dínkù, 2) àkójọpọ̀ tí ó níra ní pàtó àti 3) ìlànà tí ó nííṣe pẹ̀lú ènìyàn."
"Yesu ya tashi daga matattu ya gwada nasararsa akan zunubi, mutuwa da jahannama ( Kolosiyawa 2;15; 1 Korantiyawa sura 15).","Jesu jinde ninu oku lati fi isegun han lori ese, oku ati ijoba apadi (Kolosse 2; 15; 1 Korinti ori 15)."
Umurnin Allah shi ne cewa a tsararraki masu zuwa za a yi bikin.,Àṣẹ Ọlọ́run ni wípé gbogbo ìran to ńbọ̀ ni yóò máa ṣe àjọyọ̀ àṣè náà.
Yesu ma ya nuna alheri lokacin da hukuncin kisa ya kamata (Yahaya 8:1-11).,Jésù lè fàyè gba ìjìyà ikú nínú àwọn ìṣẹ̀lẹ̀ kan. Jésù tún fi ore-ọ̀fẹ́ hàn nígbà tí ó yẹ kí ìjìyà ikú wà (Johannu 8:1-11).
"ko ""Duba, ga kuskure a cikin Littafi Mai Tsarki!""","À máa ńgba ìbéèrè lórèkóòrè ní ọ̀nà bíi ""Ṣ'àlàyé bí àwọn ẹsẹ̀ yìí kò ṣé tako ara wọn"" tàbí ""Wòó, àṣìṣe kan rèé nínú Bíbélì!"""
Akwai rudani sosai game da wannan tambayar.,Ìrújú ńlá kan wà nípa ìbéèrè yìí.
"Idan Allah baya nuna son kai kuma yana sonmu ba tare da nuna tara ba, to ya kamata mu ƙaunaci wasu da irin wannan mizanin.","Bí Ọlọ́run kìí bá ṣe ojúṣàájú, tí ó sì fẹ́ràn wa láìṣe ojúṣàájú, nígbànáà àwa nílò láti fẹ́ràn pẹ̀lú òṣùwọ̀n kańnáà tí ó ga. Jésù kọ́ wa nínú ìwé Matteu 25 wípé ohunkóhun tí a bá ṣe fún ọ̀kan nínú àwọn arákùnrin Òun wọ̀nyìí tí ó kéré jùlọ, a ti ṣe é fún Òun."
"Bi awa ba si mọ̀ pe o ngbọ ti wa, ohunkohun ti awa ba bere, awa mọ̀ pe awa ri ibere ti awa ti bere lọdọ rẹ̀ gbà (1 Johannu 5:14-15).",
"Ko da kuwa babu amsa a yanzu, wannan ba yana nufin babu amsar ba.","Kódà bí kò bà sí ìdáhùn kan báyìí, ìyẹn kò túmọ̀ sí wípé kò sí ìdáhùn rárá."
Fassarar a zahiri tana baiwa kowace kalma ma'anar ma'anar da za ta saba samu a yau da kullun.,"Àkọ́kọ́, èrèdí èdè tìkalára rẹ̀ nílò wípé kí á ṣe ìtumọ̀ ọ̀rọ̀ l'ọ́nà tí ìtumọ̀ rẹ̀ kò ní yàtọ̀ sí bí a ṣe ńlòó l'ójojúmọ́."
Idan kana tafiya kurkusa tare da Ubangiji kuma da gaske kana sha’awar nufin sa don rayuwar ka- Allah zai sa marmarin Sa kan zuciyarka.,"Ti Bibeli ko ba jiyan re, ti o si le ran o lowo nipa ti emi- Bibeli si fun ni aye naa  lati se ohun ti o fe ki o si tele ohun ti okan re so."
"Ya ɗora zunubanmu ga Yesu, Allah ya ɗauke shi kamar shi mai zunubi ne, kodayake ba shi ba, kuma ya sa shi ya mutu domin zunuban duniya duka (1 Yahaya 2:2).","Ó san gbèsè ẹ̀ṣẹ̀ wa, ṣùgbọ́n Òun kò di ẹlẹ́ṣẹ̀."
Ina zan gudu in tsere maka?,Tabi nibo li emi o sare kuro niwaju re?
"Yanayin baƙin ciki galibi yana haifar da yanayi na rayuwa, kamar rasa aiki, mutuwar ƙaunataccen mutum, kisan aure, ko matsalolin halayyar mutum kamar zagi ko ƙarancin daraja.","Àwọn àjálù ayé bíi ìpàdánù iṣẹ́, ikú àyànfẹ́, ìkọ̀sílẹ̀ tàbí ìṣòro tí ó jọmọ́ ọpọlọ bíi àṣìlò tàbí àìní-ìgbàgbọ́ nínú ara ẹni  ni ó sábà máa ńfa ìbìnújẹ́ ọkàn."
Akwai rashin fahimta da yawa a duniyarmu ta yau game da matsayin miji da mata a cikin aure.,Èdè àìyedè púpọ̀ nínú ayé wà lóòní nípa àwọn ojúṣe ti ọkọ àti ìyàwó nínú ìgbeyàwó.
Jininsa ne ya tsarkake kanmu daga zunubi (1 Yahaya 1:7-9).,Ara Jésù wà nínú ibojì; ọkàn/ẹ̀mí Rẹ̀ lọ wà pẹ̀lú àwọn alábùkún fún ní sheol/hades.
"Kada ya zama mana da mamaki cewa ko da yaya ne za a far ma Littafi Mai Tsarki, kullum zata fito ne babu sakewa da mara taɓo.","Ko ye ki o je iyalenu wipe ti won ba yi Bibeli naa, ko le yipada, be naa ni ko si ohun ti o le se."
Dukanmu munyi zunubi ga Allah (Romawa 3:23).,Gbogbo wa ti ṣẹ̀ sí Ọlọ́run (Romu 3:23).
Abu mafi munin abin da zamu iya yi shi ne raba bishara ga mutum kuma yasa shi ko ita su ƙi shi.,Ohun tí o búrú jùlọ tí a lè ṣe ni wípé kí á wàásù ìhìnrere fún ènìyàn kí á sì jẹ́ kí ò kọ̀ọ́.
Ikklisiya zata koyar da koyaswar littafi mai tsarki saboda haka zamu iya zama cikin imaninmu.,Ìjọ ní láti kọ́ ẹ̀kọ́ Bíbélì kí á le gbilẹ̀ nínú ìgbàgbọ́ wa.
"A zamanin da aka rubuta Bauta, an fi maida hankali kan bautar kan tattalin arziki; lamari ne da ya shafi zamantakewa.","Ní àsìkò Bíbélì, ọrọ̀-ajé ni okùnfà níní ẹrú; ó nííṣe pẹ̀lú ipò ní àwùjọ."
"Bambancin da Ruhu Mai Tsarki kan iya yi a rayuwar mai bada gaskiya an nuna shi a rayuwar Bitrus, wanda kafin ya cika da Ruhu Mai Tsarki ya musunci Yesu sau uku, kuma wannan daga baya ya ce zai bi Kiristi har ga mutuwa.","Ohun ti Emi Mimo le se ni inu aye onigbagbo la o ri ninu igbesi aye Peteru, ki o to ni Emi Mimo, o si se Jesu ni emeta, Leyin ti o si se eyi, o si ni wipe ohun yio tele Jesu de  isa oku."
English,English
"Ya kamata mu saba sosai da Kalmar Allah ta yadda idan wani ya yi mana magana kuskure, a bayyane yake cewa ba na Allah bane.","Àwa gbọ́dọ̀ súnmọ́ Ọ̀rọ̀ Ọlọ́run tó bẹ́ẹ̀ gẹ́ ti ó fi jẹ́ wípé nígbàtí ẹnìkan bá ńsọ irọ́ fún wa, yóò hàn kedere sí wa wípé kìí ṣe ti Ọlọ́run."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Wannan tambaya ita ce sanadiyar Jaddada- tsaguwa tsakanin Ikilisiyar Ikilisiyar Yan Tawaye da Ikilisiyar Katolika.,Ibere yi je ohun ti o pin omo leyin Kristi ati esin kristianiti miran.
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
"Manzo Bulus ya ƙalubalanci mutane da tambayar ingancin shaidun ido, kuma babu wanda ya iya ya hauri gaskiyarta.","Aposteli Paulu so fun awon enia ki won bere lowo awon ti o ri fun idani loju, ko si si eni ti o le ba jinyan o o to naa."
"Azumi ya kamata a iyakance shi zuwa lokacin da aka kayyade, musamman lokacin yin azumi daga abinci.","Ààwẹ̀ gbígbà gbọ́dọ̀ wa fún àkókò kan, pàápàá nígbàtí a bá ńgba ààwẹ̀ oúnjẹ."
"Ya ce duk masu bi masu rai, tare da duk masu bi da suka mutu, za su haɗu da Ubangiji Yesu a cikin iska kuma za su kasance tare da shi har abada.","Kò jẹ́ ṣísẹ̀ntẹ̀lé fún Ọlọ́run láti ṣe ìlérí fún àwọn onígbàgbọ́ wípé wọn kò ní jìyà, kí Òun sì fi wọ́n sílẹ̀ sáyé láti jẹ ìyà ìpọ́njú náà."
English,English
Hakanan Uban ke yi duk waɗannan ta ikon Ruhu Mai Tsarki.,Baba n se gbogbo ise yi nipa agbara Emi Mimo.
"Rashin yarda na gama-gari na uku shine cewa Bulus kaɗai na zancen mazaje da mataye ma’aurata ne, ba na maza da mata dukka ba ne.","Ohun iketa niwipe, Paulu n so nipa oko ati aya, ki se okonrin tabi obirin."
English,English
English,English
Amsa,Idahun
Amsa,Idahun
"Wani lokaci jagorancin Allah na iya zuwa ta wurin Ruhu Mai Tsarki, ta wurin lamirinmu, ta halin da muke ciki, da kuma ta hanyar nasihar wasu mutane.","Nígbà míìrán ìdarí ti Ọlọ́run lè wá nípasẹ Ẹ̀mí Mímọ́, nípasẹ àwọn ẹ̀rí ọkàn wa, nípasẹ àwọn ìṣẹ̀lẹ̀, àti nípasẹ àwọn ìgbani níyànjú àwọn ẹlòmíràn."
Amsa,Idahun
Muna da duk da lauya da alƙali a matsayin mai ceton mu.,A ni alagbawi ati onidajo gege bi olugbala wa.
"Sai dai in Ubangiji ya dawo, duk wanda yake da rai a yau zai mutu, kuma mafi yawansu (Kiristocin da aka haɗa) za su mutu sakamakon matsalar jiki (cuta, ciwo, rauni).","Ní ọ̀run, kò ní sí ìrora àìsàn, àrùn, ìjìyà tàbí ikú mọ́ (Ifihan 21)."
Amsa,Idahun
Shin ya kasance mutum ne mai ibada kuma malami mai ban mamaki na Kalmar Allah?,Ṣé ìyẹn mú kí gbogbo àwọn ìṣe àti ìhùwàsí rẹ̀ bọ̀wọ̀ fún Ọlọ́run bí?
Ruhu shine mahimmin abu a cikin ɗan adam wanda ya bamu ikon ƙulla kusanci da Allah.,Ẹ̀mí jẹ́ ìpín kan nínú ènìyàn tí ó fún wa ní agbára láti ní ìbáṣepọ̀ tímọ́ tímọ́ pẹ̀lú Ọlọ́run.
"Karanta Nassosi a hankali, mutum zai ga cewa mafi mahimmancin magana, haka kai tsaye Littafi Mai Tsarki ke magana da shi.","Bí a bá farabalẹ̀ ka Ìwé Mímọ́, a ó ri wípé bí orí ọ̀rọ̀ bá ṣe le koko tó, bẹ́ẹ̀ ni Bíbélì yóò ṣe ṣe àlàyè tàrà nípa rẹ̀."
"Yesu ya mutu kan gicciye, ya ɗauki hukuncin daya cancance mu- mutuwa.","Jesu ku lori igi agbelebu, o gba iya wa je!"
"Maganar Littafi Mai Tsarki, aure shine haɗin rayuwar miji da mata na rayuwa, da farko don manufar gina iyali da kuma samar da kyakkyawan yanayi ga wannan iyalin.","Nígbàkúgbà ti Bíbélì náà bá mẹnuba ìgbéyàwó, ó jẹ láàrin ọkùnrin kan àti obìnrin kan. Ìgbà àkọkọ ti a mẹnubà ìgbéyàwó, Jẹnẹsísì 2:24 ṣe àpéjúwe rẹ gẹgẹ bí ọkùnrin kan ńfi àwọn òbi rẹ sílẹ tí a sì soópọ̀ pẹ̀lú ìyàwo rẹ."
"Duk nau'ikan wariyar launin fata, nuna wariya, da nuna wariya gaba ne ga aikin Kristi akan giciye.","Gbogbo ẹlẹ́yàmẹyà, ìkórira, àti yíyanisọ́tọ̀ jẹ́ àfojúdi sí iṣẹ́ tí Kristi ṣe lórí àgbelèbú."
"Suna da’awar cewa Yana da iko ya gafarta zunubai – abin da Allah kaɗai ne kan iya yi, tun da yake Allah ne wanda aka yi masa laifin (Ayyukan Manzanni 5:31; Kolosiyawa 3:13; kwatanta Zabura 130:4; Irmiya 31:34).","Won ni agbara lati dari ji ese wa- nkan ti o je pe Oluwa nikan lo le se, eyi ti o fi je wipe a dese si (ise awon Aposteli 5:13; Kolosse 3:13; Orin Dafidi 130:4; Jeremiah 31:14)."
"Yanzu, abu ɗaya ne ayi da’awar zaman Allah ko a mai da wani wawa ga bada gaskiya abin gaskiya ne, ko dai wani abu kacokan da tabbatar haka yake.","Ni isin yi, ki awon kan so wipe Olorun ni awon tabi ki a paro fun awon kan wipe otito ni, ki a si wa ohun ti a fi ma jiyan re."
"Littafi yana koyar da cewa Yesu cikakken mutum ne, tare da jiki na zahiri kamar namu.","Ìwé Mímọ́ kọ́ wa wípé Jésù jẹ́ ènìyàn, pẹ̀lu ara bíi ti àwa."
Addu’ar mai zunubi ta zama roƙo ne don alheri maimakon hukunci.,Adura elese je adura enia I an gba si Olorun nigba ti won ba mo wipe elese ni awa a si fe irapada.
Amsa,Idahun
Ra'ayin Larabawa ya bayyana cewa akwai Asabar biyu a wancan makon.,Àwọn onígbàgbọ́ Ọjọ́'rú sọ wípé ọjọ́ ìsinmi méjì l'ówà ní ọ̀sẹ̀ yẹn.
Littafi Mai-Tsarki a zahiri “Allah ne ya hura” (2 Timothawus 3:16).,Ìmísí-Ọlọ́run ni Bíbélì jẹ́ (2 Timoteu 3:16).
"Horon Allah yana da ƙauna, kuma ya kamata ya kasance tsakanin iyaye da yaro.","Ìbáwí Ọlọ́run ní ìfẹ́ nínú, bẹ́ẹ̀ ni ó yẹ kí ó rí láàrin òbí àti ọmọ."
"A cikin babban makircin abubuwa, ba shine mahimmancin sanin ranar ranar mako da aka giciye Kristi ba.","Nínú àwọn ẹ̀tọ̀ ńlá àwọn nǹkan, kò ṣe pátákí láti mọ ọjọ́ náà nínú ọ̀sẹ̀ tí a kan Jésù mọ́ àgbélèbú."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Ee kuma a'a.,Bẹ́ẹ̀ni tàbí bẹ́ẹ̀kọ́.
